brand,worth,worth_lo,worth_hi,n_lists
Bowflex,0.964152,0.922840,0.987997,60
PowerBlock,0.027302,0.010842,0.070429,60
IronMaster,0.007067,0.000000,0.013413,60
Ironmaster,0.001054,0.000313,0.002428,60
"Cap Barbell",0.000112,0.000000,0.000233,60
NordicTrack,0.000111,0.000013,0.000566,60
"Rogue Fitness",0.000080,0.000009,0.000368,60
"REP Fitness",0.000049,0.000004,0.001802,60
"CAP Barbell",0.000027,0.000004,0.000092,60
"Rep Fitness",0.000018,0.000001,0.000074,60
Body-Solid,0.000009,0.000001,0.000035,60
XMark,0.000006,0.000000,0.000014,60
Marcy,0.000005,0.000000,0.000011,60
"York Barbell",0.000003,0.000000,0.000018,60
"Titan Fitness",0.000003,0.000000,0.000024,60
"Sunny Health & Fitness",0.000001,0.000000,0.000009,60
"XMark Fitness",0.000000,0.000000,0.000003,60
