brand,worth,worth_lo,worth_hi,n_lists
Odlo,0.201719,0.000000,0.229813,80
"The North Face",0.194121,0.146621,0.346438,80
Adidas,0.123119,0.000000,0.233620,80
Nike,0.092700,0.050324,0.194583,80
Patagonia,0.092470,0.074531,0.138866,80
"Under Armour",0.079353,0.049917,0.151493,80
Arc'teryx,0.055770,0.042539,0.080033,80
Smartwool,0.053404,0.033670,0.083355,80
Icebreaker,0.032790,0.014280,0.064362,80
"Columbia Sportswear",0.025586,0.009849,0.050015,80
Columbia,0.019922,0.001976,0.066053,80
"Helly Hansen",0.011904,0.000623,0.043933,80
Lululemon,0.007582,0.000000,0.010444,80
"Mountain Hardwear",0.005794,0.000000,0.007495,80
Carhartt,0.003765,0.000000,0.005742,80
