brand,worth,worth_lo,worth_hi,n_lists
Spalding,0.857203,0.736344,0.961154,40
Lifetime,0.136009,0.037894,0.254121,40
Goalrilla,0.003665,0.000825,0.005854,40
"OnCourt OffCourt",0.001770,0.000000,0.002559,40
"Silverback Hoops",0.000380,0.000000,0.001279,40
"Park & Sun",0.000272,0.000000,0.000394,40
Goalsetter,0.000173,0.000021,0.000421,40
Goaliath,0.000137,0.000000,0.000907,40
"First Team",0.000108,0.000003,0.000906,40
Gared,0.000071,0.000000,0.001345,40
Silverback,0.000058,0.000002,0.000218,40
"Pro Dunk Hoops",0.000050,0.000005,0.000156,40
GARED,0.000036,0.000000,0.000059,40
"Franklin Sports",0.000036,0.000000,0.000068,40
Wilson,0.000015,0.000000,0.000155,40
"First Team Hoops",0.000015,0.000000,0.000067,40
"Pro Dunk",0.000002,0.000000,0.000015,40
