category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
adjustable_dumbbells,Bowflex,1,0.964152,0.922840,0.987997,0.983333,0.080017,1.000000,0.080017
adjustable_dumbbells,PowerBlock,2,0.027302,0.010842,0.070429,0.016667,0.080017,1.000000,0.080017
adjustable_dumbbells,IronMaster,3,0.007067,0.000000,0.013413,0,,0.016667,0.080017
adjustable_dumbbells,Ironmaster,4,0.001054,0.000313,0.002428,0,,0.016667,0.080017
adjustable_dumbbells,"Cap Barbell",5,0.000112,0.000000,0.000233,0,,0.050000,0.080017
adjustable_dumbbells,NordicTrack,6,0.000111,0.000013,0.000566,0,,0.083333,0.080017
adjustable_dumbbells,"Rogue Fitness",7,0.000080,0.000009,0.000368,0,,0.050000,0.080017
adjustable_dumbbells,"REP Fitness",8,0.000049,0.000004,0.001802,0,,0.050000,0.080017
adjustable_dumbbells,"CAP Barbell",9,0.000027,0.000004,0.000092,0,,0.050000,0.080017
adjustable_dumbbells,"Rep Fitness",10,0.000018,0.000001,0.000074,0,,0.050000,0.080017
adjustable_dumbbells,Body-Solid,11,0.000009,0.000001,0.000035,0,,0,
adjustable_dumbbells,XMark,12,0.000006,0.000000,0.000014,0,,0,
adjustable_dumbbells,Marcy,13,0.000005,0.000000,0.000011,0,,0,
adjustable_dumbbells,"York Barbell",14,0.000003,0.000000,0.000018,0,,0,
adjustable_dumbbells,"Titan Fitness",15,0.000003,0.000000,0.000024,0,,0,
adjustable_dumbbells,"Sunny Health & Fitness",16,0.000001,0.000000,0.000009,0,,0,
adjustable_dumbbells,"XMark Fitness",17,0.000000,0.000000,0.000003,0,,0,
