category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
alpine_boots,"La Sportiva",1,0.979177,0.000000,0.989809,0.016667,0.080017,0.016667,0.080017
alpine_boots,Lange,2,0.011633,0.000000,0.524693,0,,0.016667,0.080017
alpine_boots,Salomon,3,0.006515,0.005814,0.854913,0.850000,0.080017,0.950000,0.080017
alpine_boots,Rossignol,4,0.000652,0.000342,0.063514,0,,0.600000,0.080017
alpine_boots,Atomic,5,0.000526,0.000250,0.058996,0.050000,0.080017,0.400000,0.080017
alpine_boots,Nordica,6,0.000491,0.000245,0.055410,0.066667,0.080017,0.450000,0.080017
alpine_boots,Tecnica,7,0.000476,0.000218,0.054477,0.016667,0.080017,0.433333,0.080017
alpine_boots,Fischer,8,0.000139,0.000042,0.017496,0,,0.033333,0.080017
alpine_boots,Dalbello,9,0.000133,0.000043,0.016613,0,,0.033333,0.080017
alpine_boots,Scarpa,10,0.000132,0.000029,0.028285,0,,0.066667,0.080017
alpine_boots,Head,11,0.000063,0.000007,0.011286,0,,0,
alpine_boots,Dynafit,12,0.000062,0.000002,0.015816,0,,0,
