category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
base_layers,Odlo,1,0.201719,0.000000,0.229813,0,,0.012500,0.069296
base_layers,"The North Face",2,0.194121,0.146621,0.346438,0.425000,0.069296,0.687500,0.069296
base_layers,Adidas,3,0.123119,0.000000,0.233620,0,,0.037500,0.069296
base_layers,Nike,4,0.092700,0.050324,0.194583,0,,0.187500,0.069296
base_layers,Patagonia,5,0.092470,0.074531,0.138866,0.150000,0.069296,0.662500,0.069296
base_layers,"Under Armour",6,0.079353,0.049917,0.151493,0.200000,0.069296,0.337500,0.069296
base_layers,Arc'teryx,7,0.055770,0.042539,0.080033,0,,0.437500,0.069296
base_layers,Smartwool,8,0.053404,0.033670,0.083355,0.225000,0.069296,0.337500,0.069296
base_layers,Icebreaker,9,0.032790,0.014280,0.064362,0,,0.250000,0.069296
base_layers,"Columbia Sportswear",10,0.025586,0.009849,0.050015,0,,0,
base_layers,Columbia,11,0.019922,0.001976,0.066053,0,,0.037500,0.069296
base_layers,"Helly Hansen",12,0.011904,0.000623,0.043933,0,,0.012500,0.069296
base_layers,Lululemon,13,0.007582,0.000000,0.010444,0,,0,
base_layers,"Mountain Hardwear",14,0.005794,0.000000,0.007495,0,,0,
base_layers,Carhartt,15,0.003765,0.000000,0.005742,0,,0,
