category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
golf_apparel,Golfposer,1,0.500007,0.000000,0.972714,0.010000,0.061981,0.010000,0.061981
golf_apparel,adidas,2,0.499988,0.000000,0.967700,0.010000,0.061981,0.010000,0.061981
golf_apparel,"Nike Golf",3,0.000001,0.000000,0.491969,0.170000,0.061981,0.230000,0.061981
golf_apparel,Descente,4,0.000001,0.000000,0.173097,0,,0.020000,0.061981
golf_apparel,Nike,5,0.000001,0.000000,0.135773,0.470000,0.061981,0.670000,0.061981
golf_apparel,"Adidas Golf",6,0.000001,0.000000,0.137646,0.030000,0.061981,0.230000,0.061981
golf_apparel,Mizuno,7,0.000001,0.000000,0.106417,0.080000,0.061981,0.170000,0.061981
golf_apparel,Adidas,8,0.000000,0.000000,0.084195,0.010000,0.061981,0.010000,0.061981
golf_apparel,"American Golf",9,0.000000,0.000000,0.957499,0.020000,0.061981,0.030000,0.061981
golf_apparel,"Nike (Golf)",10,0.000000,0.000000,0.001499,0.170000,0.061981,0.230000,0.061981
golf_apparel,"PUMA Golf",11,0.000000,0.000000,0.029453,0,,0.010000,0.061981
golf_apparel,Srixon,12,0.000000,0.000000,0.042767,0,,0.010000,0.061981
golf_apparel,PUMA,13,0.000000,0.000000,0.009373,0,,0.010000,0.061981
golf_apparel,"Under Armour",14,0.000000,0.000000,0.014690,0,,0.440000,0.061981
golf_apparel,"Under Armour Golf",15,0.000000,0.000000,0.022892,0,,0.040000,0.061981
golf_apparel,"Puma Golf",16,0.000000,0.000000,0.018162,0,,0.010000,0.061981
golf_apparel,"Galvin Green",17,0.000000,0.000000,0.007384,0,,0,
golf_apparel,Titleist,18,0.000000,0.000000,0.011921,0.010000,0.061981,0.090000,0.061981
golf_apparel,Puma,19,0.000000,0.000000,0.005960,0,,0.010000,0.061981
golf_apparel,Callaway,20,0.000000,0.000000,0.005078,0,,0.140000,0.061981
golf_apparel,FootJoy,21,0.000000,0.000000,0.006451,0.010000,0.061981,0.030000,0.061981
golf_apparel,Golfstore,22,0.000000,0.000000,0.003574,0,,0,
golf_apparel,"Callaway Golf",23,0.000000,0.000000,0.003539,0,,0.020000,0.061981
golf_apparel,TaylorMade,24,0.000000,0.000000,0.002711,0,,0.020000,0.061981
golf_apparel,Lacoste,25,0.000000,0.000000,0.001339,0,,0,
golf_apparel,"Ralph Lauren",26,0.000000,0.000000,0.001119,0,,0,
golf_apparel,Golfino,27,0.000000,0.000000,0.001933,0,,0,
golf_apparel,"Lyle & Scott",28,0.000000,0.000000,0.000289,0,,0,
golf_apparel,"TaylorMade Golf",29,0.000000,0.000000,0.000683,0,,0,
golf_apparel,"Peter Millar",30,0.000000,0.000000,0.000301,0,,0,
golf_apparel,PING,31,0.000000,0.000000,0.000068,0,,0,
