category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
golf_rangefinders,Bushnell,1,0.981733,0.981314,0.989493,1.000000,0.080017,1.000000,0.080017
golf_rangefinders,Leupold,2,0.010140,0.007623,0.010383,0,,1.000000,0.080017
golf_rangefinders,Ping,3,0.002088,0.000000,0.002127,0,,0,
golf_rangefinders,"Voice Caddie",4,0.001347,0.000000,0.002174,0,,0,
golf_rangefinders,Garmin,5,0.001077,0.000311,0.002140,0,,0.316667,0.080017
golf_rangefinders,Callaway,6,0.001001,0.000341,0.001456,0,,0.333333,0.080017
golf_rangefinders,Nikon,7,0.000764,0.000261,0.001279,0,,0.233333,0.080017
golf_rangefinders,"Callaway Golf",8,0.000466,0.000107,0.001019,0,,0.050000,0.080017
golf_rangefinders,"Cobra Golf",9,0.000446,0.000000,0.000560,0,,0,
golf_rangefinders,Vortex,10,0.000329,0.000000,0.000336,0,,0,
golf_rangefinders,"Precision Pro Golf",11,0.000148,0.000039,0.000228,0,,0.033333,0.080017
golf_rangefinders,PING,12,0.000132,0.000000,0.000178,0,,0,
golf_rangefinders,Topcon,13,0.000101,0.000000,0.000130,0,,0,
golf_rangefinders,"Precision Pro",14,0.000076,0.000002,0.000181,0,,0,
golf_rangefinders,TecTecTec,15,0.000067,0.000002,0.000261,0,,0.033333,0.080017
golf_rangefinders,Zeiss,16,0.000060,0.000000,0.000207,0,,0,
golf_rangefinders,"Vortex Optics",17,0.000014,0.000000,0.000126,0,,0,
golf_rangefinders,GolfBuddy,18,0.000012,0.000000,0.000033,0,,0,
