category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
golf_shoes,FootJoy,1,0.458437,0.345797,0.616090,0.771429,0.074081,1.000000,0.074081
golf_shoes,Nike,2,0.305312,0.176675,0.451178,0.228571,0.074081,0.642857,0.074081
golf_shoes,Adidas,3,0.078054,0.039251,0.119275,0,,0.842857,0.074081
golf_shoes,"Nike Golf",4,0.067369,0.000000,0.208156,0,,0.042857,0.074081
golf_shoes,Titleist,5,0.038332,0.000000,0.045570,0,,0,
golf_shoes,"Adidas Golf",6,0.034495,0.010351,0.065934,0,,0.128571,0.074081
golf_shoes,"ECCO Golf",7,0.008955,0.000000,0.012612,0,,0,
golf_shoes,Callaway,8,0.003829,0.000794,0.013479,0,,0,
golf_shoes,"PUMA Golf",9,0.002059,0.000000,0.023553,0,,0.014286,0.074081
golf_shoes,ECCO,10,0.001129,0.000234,0.003981,0,,0.185714,0.074081
golf_shoes,Mizuno,11,0.000552,0.000012,0.005436,0,,0.014286,0.074081
golf_shoes,"New Balance",12,0.000388,0.000073,0.000989,0,,0.014286,0.074081
golf_shoes,Skechers,13,0.000307,0.000051,0.000963,0,,0.071429,0.074081
golf_shoes,Puma,14,0.000272,0.000024,0.001425,0,,0.014286,0.074081
golf_shoes,"New Balance Golf",15,0.000247,0.000010,0.001239,0,,0,
golf_shoes,"Under Armour",16,0.000166,0.000005,0.001055,0,,0.028571,0.074081
golf_shoes,PUMA,17,0.000052,0.000000,0.000112,0,,0.014286,0.074081
golf_shoes,"Skechers Golf",18,0.000045,0.000000,0.000102,0,,0,
