category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
headlamps,Philips,1,0.872676,0.797991,0.947266,0.125000,0.069296,0.125000,0.069296
headlamps,"Philips Automotive Lighting",2,0.026819,0.000000,0.035240,0,,0.012500,0.069296
headlamps,SYLVANIA,3,0.024126,0.000000,0.041468,0.025000,0.069296,0.012500,0.069296
headlamps,Osram,4,0.020906,0.002614,0.034224,0.062500,0.069296,0.175000,0.069296
headlamps,OSRAM,5,0.010335,0.000855,0.045047,0.062500,0.069296,0.175000,0.069296
headlamps,VALEO,6,0.010091,0.000000,0.031454,0,,0.025000,0.069296
headlamps,"GE Lighting",7,0.009829,0.000000,0.016461,0,,0,
headlamps,Hella,8,0.008279,0.001167,0.023194,0.012500,0.069296,0.137500,0.069296
headlamps,Sylvania,9,0.006781,0.000275,0.086635,0.025000,0.069296,0.012500,0.069296
headlamps,HELLA,10,0.002497,0.000222,0.004619,0.012500,0.069296,0.137500,0.069296
headlamps,Valeo,11,0.002277,0.000244,0.002865,0,,0.025000,0.069296
headlamps,KOITO,12,0.001007,0.000000,0.013827,0,,0.012500,0.069296
headlamps,Bosch,13,0.000677,0.000048,0.001412,0,,0.025000,0.069296
headlamps,"STANLEY ELECTRIC",14,0.000632,0.000000,0.001389,0,,0,
headlamps,Lumileds,15,0.000596,0.000011,0.003823,0,,0.037500,0.069296
headlamps,Petzl,16,0.000487,0.000050,0.063130,0.475000,0.069296,0.550000,0.069296
headlamps,BOSCH,17,0.000345,0.000000,0.000463,0,,0.025000,0.069296
headlamps,Koito,18,0.000300,0.000006,0.000801,0,,0.012500,0.069296
headlamps,PIAA,19,0.000239,0.000003,0.000776,0,,0,
headlamps,Denso,20,0.000207,0.000000,0.000229,0,,0,
headlamps,"Koito Automotive Lighting",21,0.000203,0.000000,0.000241,0,,0,
headlamps,"Black Diamond",22,0.000168,0.000013,0.024204,0.037500,0.069296,0.175000,0.069296
headlamps,DENSO,23,0.000118,0.000000,0.000187,0,,0,
headlamps,"Black Diamond Equipment",24,0.000112,0.000011,0.008854,0.037500,0.069296,0.375000,0.069296
headlamps,Signify,25,0.000097,0.000000,0.000135,0,,0,
headlamps,Marelli,26,0.000088,0.000000,0.000240,0,,0,
headlamps,Maglite,27,0.000041,0.000000,0.001315,0,,0.012500,0.069296
headlamps,"Stanley Electric",28,0.000019,0.000000,0.000084,0,,0,
headlamps,"Magneti Marelli",29,0.000012,0.000000,0.000086,0,,0,
headlamps,"Fenix Lighting",30,0.000009,0.000001,0.000525,0,,0.037500,0.069296
headlamps,"JW Speaker",31,0.000009,0.000000,0.000085,0,,0,
headlamps,Ledlenser,32,0.000007,0.000000,0.000200,0,,0.050000,0.069296
headlamps,Fenix,33,0.000003,0.000000,0.000093,0,,0.087500,0.069296
headlamps,"Led Lenser",34,0.000003,0.000000,0.000086,0,,0.050000,0.069296
headlamps,"Princeton Tec",35,0.000003,0.000000,0.000081,0,,0.062500,0.069296
headlamps,Streamlight,36,0.000002,0.000000,0.000064,0,,0.100000,0.069296
headlamps,Pelican,37,0.000001,0.000000,0.004776,0,,0.012500,0.069296
headlamps,Coast,38,0.000001,0.000000,0.000010,0,,0,
headlamps,Nitecore,39,0.000001,0.000000,0.000023,0,,0.012500,0.069296
headlamps,SureFire,40,0.000001,0.000000,0.000048,0.012500,0.069296,0.012500,0.069296
headlamps,MSR,41,0.000000,0.000000,0.000005,0,,0,
