category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
hiking_boots,"REI Co-op",1,0.964198,0.222696,0.973428,0.017857,0.037041,0.017857,0.037041
hiking_boots,Meindl,2,0.006742,0.000044,0.011858,0.117857,0.037041,0.214286,0.037041
hiking_boots,Merrell,3,0.006596,0.000040,0.007311,0.578571,0.037041,0.725000,0.037041
hiking_boots,Montbell,4,0.003973,0.000046,0.262055,0.014286,0.037041,0.017857,0.037041
hiking_boots,Lowa,5,0.002234,0.000015,0.004272,0.003571,0.037041,0.032143,0.037041
hiking_boots,REI,6,0.001852,0.000008,0.007139,0.071429,0.037041,0.082143,0.037041
hiking_boots,Hanwag,7,0.001718,0.000011,0.002373,0,,0.157143,0.037041
hiking_boots,Haix,8,0.001433,0.000000,0.002787,0,,0.007143,0.037041
hiking_boots,LOWA,9,0.001371,0.000009,0.004151,0.003571,0.037041,0.032143,0.037041
hiking_boots,Danner,10,0.001218,0.000006,0.001616,0,,0.139286,0.037041
hiking_boots,Salomon,11,0.000954,0.000004,0.001094,0.021429,0.037041,0.550000,0.037041
hiking_boots,Berghaus,12,0.000705,0.000003,0.001158,0.032143,0.037041,0.075000,0.037041
hiking_boots,KEEN,13,0.000601,0.000003,0.000900,0,,0.035714,0.037041
hiking_boots,Scarpa,14,0.000558,0.000003,0.000709,0,,0.139286,0.037041
hiking_boots,"Jack Wolfskin",15,0.000529,0.000003,0.000818,0,,0.035714,0.037041
hiking_boots,Vasque,16,0.000416,0.000002,0.000552,0,,0.082143,0.037041
hiking_boots,Vaude,17,0.000400,0.000000,0.001195,0.003571,0.037041,0.003571,0.037041
hiking_boots,"The North Face",18,0.000381,0.000001,0.000514,0.014286,0.037041,0.157143,0.037041
hiking_boots,MontBell,19,0.000351,0.000001,0.002959,0.014286,0.037041,0.017857,0.037041
hiking_boots,Columbia,20,0.000283,0.000001,0.000406,0,,0.082143,0.037041
hiking_boots,Arc'teryx,21,0.000283,0.000000,0.002156,0,,0.003571,0.037041
hiking_boots,"La Sportiva",22,0.000255,0.000001,0.000386,0,,0.032143,0.037041
hiking_boots,Montane,23,0.000229,0.000000,0.000600,0,,0,
hiking_boots,Adidas,24,0.000198,0.000001,0.000524,0,,0,
hiking_boots,Keen,25,0.000192,0.000001,0.000309,0,,0.035714,0.037041
hiking_boots,VAUDE,26,0.000188,0.000001,0.003164,0.003571,0.037041,0.003571,0.037041
hiking_boots,Altberg,27,0.000180,0.000000,0.000268,0,,0,
hiking_boots,"Cotswold Outdoor",28,0.000161,0.000001,0.001170,0.003571,0.037041,0.025000,0.037041
hiking_boots,"Decathlon UK",29,0.000159,0.000000,0.001448,0,,0.003571,0.037041
hiking_boots,Oboz,30,0.000150,0.000000,0.000370,0,,0,
hiking_boots,Timberland,31,0.000143,0.000001,0.000243,0,,0.028571,0.037041
hiking_boots,Zappos,32,0.000101,0.000000,0.000806,0,,0.007143,0.037041
hiking_boots,"Go Outdoors",33,0.000098,0.000001,0.000557,0.010714,0.037041,0.014286,0.037041
hiking_boots,Bergfreunde,34,0.000097,0.000000,0.000353,0,,0.003571,0.037041
hiking_boots,Salewa,35,0.000088,0.000000,0.000105,0,,0,
hiking_boots,"Columbia Sportswear",36,0.000086,0.000000,0.000218,0,,0,
hiking_boots,Regatta,37,0.000078,0.000000,0.000536,0,,0,
hiking_boots,"Mountain Warehouse",38,0.000075,0.000000,0.002115,0,,0.003571,0.037041
hiking_boots,Backcountry,39,0.000075,0.000000,0.000620,0,,0.014286,0.037041
hiking_boots,"Keen Footwear",40,0.000074,0.000000,0.000308,0,,0,
hiking_boots,Millets,41,0.000066,0.000000,0.000228,0,,0.003571,0.037041
hiking_boots,Hi-Tec,42,0.000066,0.000000,0.000076,0,,0,
hiking_boots,Decathlon,43,0.000064,0.000000,0.726885,0.003571,0.037041,0.007143,0.037041
hiking_boots,"Ellis Brigham",44,0.000061,0.000000,0.000460,0,,0,
hiking_boots,Amazon,45,0.000059,0.000000,0.000689,0.003571,0.037041,0.014286,0.037041
hiking_boots,Globetrotter,46,0.000057,0.000000,0.000128,0,,0.003571,0.037041
hiking_boots,Karrimor,47,0.000053,0.000000,0.000138,0,,0,
hiking_boots,L.L.Bean,48,0.000051,0.000000,0.001298,0,,0.003571,0.037041
hiking_boots,Asolo,49,0.000042,0.000000,0.000049,0,,0,
hiking_boots,"Adidas Terrex",50,0.000025,0.000000,0.000104,0,,0,
