category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
indoor_soccer_shoes,Adidas,1,0.477653,0.376822,0.591054,0.500000,0.080017,1.000000,0.080017
indoor_soccer_shoes,Nike,2,0.429553,0.296987,0.578380,0.500000,0.080017,0.966667,0.080017
indoor_soccer_shoes,PUMA,3,0.055252,0.000000,0.095259,0,,0.033333,0.080017
indoor_soccer_shoes,Puma,4,0.022011,0.003476,0.047733,0,,0.033333,0.080017
indoor_soccer_shoes,Asics,5,0.007957,0.000000,0.013547,0,,0,
indoor_soccer_shoes,Mizuno,6,0.003114,0.000222,0.011370,0,,0.150000,0.080017
indoor_soccer_shoes,"New Balance",7,0.002439,0.000168,0.008113,0,,0.016667,0.080017
indoor_soccer_shoes,"Under Armour",8,0.000837,0.000011,0.003630,0,,0,
indoor_soccer_shoes,ASICS,9,0.000531,0.000000,0.006171,0,,0,
indoor_soccer_shoes,Umbro,10,0.000243,0.000000,0.003219,0,,0,
indoor_soccer_shoes,Diadora,11,0.000237,0.000004,0.001604,0,,0.016667,0.080017
indoor_soccer_shoes,Joma,12,0.000164,0.000001,0.001357,0,,0,
indoor_soccer_shoes,Kelme,13,0.000011,0.000000,0.000644,0,,0,
