category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
protein_powders,"Optimum Nutrition",1,0.964541,0.952083,0.973698,0.983333,0.080017,0.983333,0.080017
protein_powders,"Dymatize Nutrition",2,0.026500,0.016399,0.039368,0,,0.166667,0.080017
protein_powders,Dymatize,3,0.007680,0.005358,0.011097,0,,0.833333,0.080017
protein_powders,MuscleTech,4,0.000441,0.000141,0.000634,0,,0.783333,0.080017
protein_powders,BSN,5,0.000203,0.000042,0.000448,0,,0.050000,0.080017
protein_powders,Muscletech,6,0.000198,0.000000,0.000264,0,,0.783333,0.080017
protein_powders,"Ghost Lifestyle",7,0.000142,0.000000,0.000198,0,,0,
protein_powders,Myprotein,8,0.000123,0.000005,0.002619,0.016667,0.080017,0.050000,0.080017
protein_powders,Isopure,9,0.000075,0.000014,0.000134,0,,0.100000,0.080017
protein_powders,Cellucor,10,0.000051,0.000011,0.000096,0,,0.033333,0.080017
protein_powders,"Transparent Labs",11,0.000022,0.000000,0.000114,0,,0,
protein_powders,"Kaged Muscle",12,0.000010,0.000000,0.000015,0,,0,
protein_powders,"Quest Nutrition",13,0.000010,0.000000,0.000031,0,,0,
protein_powders,"Garden of Life",14,0.000001,0.000000,0.000010,0,,0,
protein_powders,Orgain,15,0.000001,0.000000,0.000003,0,,0,
