category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
racing_flats,Nike,1,0.929830,0.800409,0.986488,0.966667,0.080017,1.000000,0.080017
racing_flats,Adidas,2,0.042141,0.008473,0.082686,0,,0.700000,0.080017
racing_flats,"Brooks Running",3,0.013716,0.001435,0.160134,0,,0.050000,0.080017
racing_flats,ASICS,4,0.006340,0.000448,0.023176,0.016667,0.080017,0.100000,0.080017
racing_flats,Brooks,5,0.002131,0.000146,0.008079,0.016667,0.080017,0.300000,0.080017
racing_flats,Saucony,6,0.001991,0.000149,0.006771,0,,0.233333,0.080017
racing_flats,"New Balance",7,0.001660,0.000123,0.005328,0,,0.350000,0.080017
racing_flats,Asics,8,0.001499,0.000095,0.006214,0.016667,0.080017,0.100000,0.080017
racing_flats,Mizuno,9,0.000387,0.000016,0.002012,0,,0,
racing_flats,HOKA,10,0.000234,0.000000,0.000537,0,,0,
racing_flats,"On Running",11,0.000073,0.000000,0.000224,0,,0,
