category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
rowers,Concept2,1,0.654439,0.014422,0.976619,0.950000,0.098000,0.950000,0.098000
rowers,"WinTech Boats",2,0.158722,0.000000,0.191467,0,,0.025000,0.098000
rowers,WaterRower,3,0.084973,0.001360,0.110265,0,,0.800000,0.098000
rowers,"Pocock Racing Shells",4,0.052458,0.000000,0.978964,0.050000,0.098000,0.050000,0.098000
rowers,Hydrow,5,0.014351,0.000119,0.022864,0,,0.575000,0.098000
rowers,Vespoli,6,0.007869,0.000003,0.108058,0,,0.100000,0.098000
rowers,"Hudson Boat Works",7,0.006622,0.000000,0.310155,0,,0.050000,0.098000
rowers,Filippi,8,0.004068,0.000001,0.024140,0,,0.175000,0.098000
rowers,Ergatta,9,0.003980,0.000000,0.006411,0,,0,
rowers,Empacher,10,0.002658,0.000001,0.015883,0,,0.125000,0.098000
rowers,Aviron,11,0.001769,0.000006,0.004417,0,,0,
rowers,WinTech,12,0.001637,0.000000,0.026239,0,,0,
rowers,NordicTrack,13,0.001627,0.000005,0.004500,0,,0.050000,0.098000
rowers,Nelo,14,0.001562,0.000000,0.009426,0,,0.050000,0.098000
rowers,"Life Fitness",15,0.000788,0.000001,0.001922,0,,0,
rowers,"First Degree Fitness",16,0.000766,0.000001,0.001628,0,,0.025000,0.098000
rowers,"WinTech Racing",17,0.000584,0.000000,0.004744,0,,0.025000,0.098000
rowers,"Sunny Health & Fitness",18,0.000296,0.000000,0.000524,0,,0,
rowers,Kettler,19,0.000296,0.000000,0.000626,0,,0,
rowers,ProForm,20,0.000296,0.000000,0.000525,0,,0,
rowers,"Matrix Fitness",21,0.000150,0.000000,0.000206,0,,0,
rowers,"Janousek Boats",22,0.000091,0.000000,0.000318,0,,0,
