category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
running_shoes,Nike,1,0.602827,0.488986,0.667320,0.724138,0.036396,0.013793,0.036396
running_shoes,Adidas,2,0.186960,0.144027,0.219015,0.175862,0.036396,0.013793,0.036396
running_shoes,PUMA,3,0.051574,0.019761,0.112773,0,,0.013793,0.036396
running_shoes,Mizuno,4,0.038705,0.017264,0.084924,0,,0.051724,0.036396
running_shoes,NIKE,5,0.036047,0.004222,0.125640,0.724138,0.036396,0.013793,0.036396
running_shoes,ASICS,6,0.017942,0.009263,0.029013,0.003448,0.036396,0.227586,0.036396
running_shoes,ADIDAS,7,0.013872,0.000807,0.055908,0.175862,0.036396,0.013793,0.036396
running_shoes,Asics,8,0.013613,0.008453,0.017177,0.003448,0.036396,0.227586,0.036396
running_shoes,Puma,9,0.009938,0.005493,0.014635,0,,0.013793,0.036396
running_shoes,"New Balance",10,0.008928,0.005677,0.011042,0,,0.337931,0.036396
running_shoes,"Brooks Running",11,0.004837,0.001043,0.016545,0,,0.006897,0.036396
running_shoes,Brooks,12,0.004420,0.002471,0.006282,0,,0.072414,0.036396
running_shoes,Decathlon,13,0.002975,0.000000,0.032573,0,,0,
running_shoes,Hoka,14,0.002372,0.000149,0.006828,0,,0,
running_shoes,Wiggle,15,0.001353,0.000000,0.001565,0,,0,
running_shoes,MIZUNO,16,0.001001,0.000000,0.008499,0,,0.051724,0.036396
running_shoes,"NEW BALANCE",17,0.001001,0.000000,0.007521,0,,0.337931,0.036396
running_shoes,Zalando,18,0.000664,0.000000,0.005361,0,,0,
running_shoes,HOKA,19,0.000346,0.000000,0.001109,0,,0,
running_shoes,"Under Armour",20,0.000287,0.000119,0.001128,0,,0,
running_shoes,Skechers,21,0.000208,0.000095,0.000590,0,,0,
running_shoes,Saucony,22,0.000128,0.000024,0.000465,0,,0,
