category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
running_socks,Nike,1,0.672211,0.520748,0.945638,0.885714,0.074081,0.900000,0.074081
running_socks,Asics,2,0.153028,0.000000,0.174422,0,,0.014286,0.074081
running_socks,"Under Armour",3,0.074175,0.009549,0.119097,0,,0.828571,0.074081
running_socks,SmartWool,4,0.026565,0.000000,0.051082,0,,0.014286,0.074081
running_socks,Adidas,5,0.021592,0.001675,0.048746,0,,0.371429,0.074081
running_socks,ASICS,6,0.021108,0.001605,0.068441,0,,0.014286,0.074081
running_socks,Saucony,7,0.007282,0.000000,0.023686,0,,0,
running_socks,Puma,8,0.006592,0.000000,0.016351,0,,0,
running_socks,"New Balance",9,0.005042,0.000124,0.014932,0,,0.128571,0.074081
running_socks,Brooks,10,0.004677,0.000062,0.028545,0,,0.014286,0.074081
running_socks,Balega,11,0.002324,0.000007,0.013237,0.100000,0.074081,0.300000,0.074081
running_socks,Swiftwick,12,0.001058,0.000002,0.008633,0,,0.085714,0.074081
running_socks,"Darn Tough",13,0.000995,0.000002,0.011144,0,,0.042857,0.074081
running_socks,Feetures,14,0.000934,0.000002,0.006598,0,,0.071429,0.074081
running_socks,Injinji,15,0.000918,0.000000,0.004824,0,,0,
running_socks,Thorlo,16,0.000829,0.000002,0.004770,0.014286,0.074081,0.085714,0.074081
running_socks,Smartwool,17,0.000670,0.000002,0.004683,0,,0.014286,0.074081
