category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
spin_bikes,Peloton,1,0.683725,0.509710,0.898533,0.810000,0.061981,0.840000,0.061981
spin_bikes,Schwinn,2,0.073513,0.021859,0.123635,0.080000,0.061981,0.580000,0.061981
spin_bikes,NordicTrack,3,0.067745,0.021928,0.106064,0.010000,0.061981,0.690000,0.061981
spin_bikes,ProForm,4,0.037568,0.012582,0.059292,0.010000,0.061981,0.140000,0.061981
spin_bikes,Keiser,5,0.036487,0.012371,0.062754,0.070000,0.061981,0.530000,0.061981
spin_bikes,"Schwinn Fitness",6,0.032078,0.010296,0.070628,0.020000,0.061981,0.090000,0.061981
spin_bikes,"Sole Fitness",7,0.016808,0.000000,0.057275,0,,0,
spin_bikes,"Life Fitness",8,0.013884,0.003567,0.029225,0,,0.080000,0.061981
spin_bikes,Precor,9,0.007915,0.001500,0.021937,0,,0.040000,0.061981
spin_bikes,Echelon,10,0.006962,0.000000,0.009806,0,,0,
spin_bikes,Bowflex,11,0.005007,0.000345,0.021694,0,,0,
spin_bikes,"Sunny Health & Fitness",12,0.004631,0.000550,0.011648,0,,0.010000,0.061981
spin_bikes,"Spirit Fitness",13,0.004314,0.000000,0.006036,0,,0,
spin_bikes,Concept2,14,0.004099,0.000000,0.006091,0,,0,
spin_bikes,Technogym,15,0.002396,0.000000,0.003873,0,,0,
spin_bikes,"Matrix Fitness",16,0.001915,0.000042,0.007999,0,,0,
spin_bikes,"Stages Cycling",17,0.000954,0.000000,0.001766,0,,0,
