category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
sports_water_bottles,"Hydro Flask",1,0.418846,0.345334,0.548004,0.433333,0.080017,1.000000,0.080017
sports_water_bottles,CamelBak,2,0.370098,0.293529,0.513158,0.483333,0.080017,0.966667,0.080017
sports_water_bottles,Nike,3,0.095784,0.000000,0.108065,0,,0.016667,0.080017
sports_water_bottles,Nalgene,4,0.082884,0.051993,0.132240,0.066667,0.080017,0.900000,0.080017
sports_water_bottles,YETI,5,0.010519,0.002476,0.033225,0,,0.033333,0.080017
sports_water_bottles,"Klean Kanteen",6,0.008196,0.002128,0.016783,0,,0.066667,0.080017
sports_water_bottles,Contigo,7,0.004596,0.001348,0.010835,0,,0,
sports_water_bottles,Takeya,8,0.002711,0.000165,0.010750,0,,0,
sports_water_bottles,Thermos,9,0.002322,0.000055,0.016255,0.016667,0.080017,0.016667,0.080017
sports_water_bottles,Stanley,10,0.002065,0.000122,0.010003,0,,0,
sports_water_bottles,"Polar Bottle",11,0.000744,0.000000,0.003034,0,,0,
sports_water_bottles,HydraPak,12,0.000598,0.000000,0.001613,0,,0,
sports_water_bottles,S'well,13,0.000337,0.000052,0.001564,0,,0,
sports_water_bottles,SIGG,14,0.000299,0.000064,0.003007,0,,0,
