category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
tennis_shoes,Nike,1,0.661405,0.004784,0.731412,0.720000,0.039200,0.004000,0.039200
tennis_shoes,Adidas,2,0.249884,0.001623,0.283685,0.216000,0.039200,0.968000,0.039200
tennis_shoes,ASICS,3,0.026969,0.000128,0.042268,0.004000,0.039200,0.276000,0.039200
tennis_shoes,Asics,4,0.015913,0.000078,0.023393,0.004000,0.039200,0.276000,0.039200
tennis_shoes,"New Balance",5,0.007355,0.000034,0.010258,0,,0.132000,0.039200
tennis_shoes,Amazon,6,0.005276,0.000000,0.992375,0.004000,0.039200,0.004000,0.039200
tennis_shoes,Yonex,7,0.005214,0.000020,0.010599,0.016000,0.039200,0.056000,0.039200
tennis_shoes,Puma,8,0.004566,0.000018,0.006826,0,,0.188000,0.039200
tennis_shoes,Babolat,9,0.004040,0.000000,0.056927,0,,0.004000,0.039200
tennis_shoes,NIKE,10,0.003380,0.000000,0.005291,0.720000,0.039200,0.004000,0.039200
tennis_shoes,Mizuno,11,0.002962,0.000011,0.007266,0,,0.020000,0.039200
tennis_shoes,Wilson,12,0.002289,0.000005,0.005670,0,,0.004000,0.039200
tennis_shoes,Zalando,13,0.001999,0.000001,0.054303,0,,0,
tennis_shoes,K-Swiss,14,0.001318,0.000000,0.001640,0,,0,
tennis_shoes,"Onitsuka Tiger",15,0.001318,0.000000,0.001710,0,,0,
tennis_shoes,ADIDAS,16,0.000949,0.000000,0.001492,0.216000,0.039200,0.968000,0.039200
tennis_shoes,Head,17,0.000925,0.000000,0.001529,0,,0,
tennis_shoes,Decathlon,18,0.000909,0.000001,0.004136,0,,0,
tennis_shoes,PUMA,19,0.000891,0.000001,0.003455,0,,0.188000,0.039200
tennis_shoes,"Foot Locker",20,0.000747,0.000001,0.036253,0,,0.008000,0.039200
tennis_shoes,"JD Sports",21,0.000530,0.000000,0.004055,0,,0,
tennis_shoes,Snipes,22,0.000479,0.000000,0.003071,0,,0,
tennis_shoes,"Under Armour",23,0.000413,0.000000,0.001394,0,,0,
tennis_shoes,MIZUNO,24,0.000155,0.000000,0.000245,0,,0.020000,0.039200
tennis_shoes,Skechers,25,0.000076,0.000000,0.000145,0,,0,
tennis_shoes,"Sports Direct",26,0.000038,0.000000,0.000397,0,,0,
