category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
trail_running_shoes,ASICS,1,0.313012,0.200569,0.489635,0.205556,0.046198,0.005556,0.046198
trail_running_shoes,Salomon,2,0.189530,0.134907,0.259889,0.655556,0.046198,0.966667,0.046198
trail_running_shoes,Mizuno,3,0.124825,0.081900,0.169142,0,,0.216667,0.046198
trail_running_shoes,"HOKA ONE ONE",4,0.057978,0.028315,0.106695,0,,0.011111,0.046198
trail_running_shoes,HOKA,5,0.046368,0.025528,0.078373,0.016667,0.046198,0.088889,0.046198
trail_running_shoes,"Brooks Running",6,0.031535,0.012515,0.081387,0.005556,0.046198,0.022222,0.046198
trail_running_shoes,"Hoka One One",7,0.029109,0.015153,0.044232,0,,0.011111,0.046198
trail_running_shoes,"Altra Running",8,0.023448,0.000000,0.032265,0,,0,
trail_running_shoes,Adidas,9,0.022109,0.011522,0.037130,0.027778,0.046198,0.211111,0.046198
trail_running_shoes,Hoka,10,0.021941,0.011020,0.032235,0.016667,0.046198,0.088889,0.046198
trail_running_shoes,Nike,11,0.021508,0.011589,0.031734,0.038889,0.046198,0.183333,0.046198
trail_running_shoes,Inov-8,12,0.021472,0.007516,0.047059,0.005556,0.046198,0.088889,0.046198
trail_running_shoes,Brooks,13,0.013527,0.007066,0.019979,0.016667,0.046198,0.166667,0.046198
trail_running_shoes,"La Sportiva",14,0.012655,0.005857,0.024771,0,,0.133333,0.046198
trail_running_shoes,"The North Face",15,0.011600,0.004651,0.024105,0,,0.011111,0.046198
trail_running_shoes,"Adidas Terrex",16,0.010088,0.003080,0.027025,0,,0.022222,0.046198
trail_running_shoes,Altra,17,0.009547,0.004322,0.015903,0.005556,0.046198,0.083333,0.046198
trail_running_shoes,Merrell,18,0.007963,0.003347,0.014964,0,,0.016667,0.046198
trail_running_shoes,NIKE,19,0.007097,0.000000,0.009773,0.038889,0.046198,0.183333,0.046198
trail_running_shoes,Saucony,20,0.006497,0.002760,0.010327,0,,0.061111,0.046198
trail_running_shoes,On,21,0.006185,0.000310,0.029042,0,,0.011111,0.046198
trail_running_shoes,"On Running",22,0.004839,0.000000,0.017168,0,,0,
trail_running_shoes,Asics,23,0.002867,0.000124,0.050898,0.205556,0.046198,0.005556,0.046198
trail_running_shoes,Columbia,24,0.001506,0.000000,0.002064,0,,0,
trail_running_shoes,Wiggle,25,0.001365,0.000000,0.001724,0,,0,
trail_running_shoes,"New Balance",26,0.000856,0.000267,0.005584,0,,0,
trail_running_shoes,Decathlon,27,0.000572,0.000000,0.002261,0,,0,
