category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
winter_jackets,UNIQLO,1,0.892139,0.000000,0.966276,0.007692,0.038439,0.007692,0.038439
winter_jackets,MUJI,2,0.107849,0.000000,0.121246,0,,0.003846,0.038439
winter_jackets,Uniqlo,3,0.000007,0.000000,0.723347,0.007692,0.038439,0.007692,0.038439
winter_jackets,"The North Face",4,0.000001,0.000000,0.089575,0.700000,0.038439,0.942308,0.038439
winter_jackets,"Jack Wolfskin",5,0.000001,0.000000,0.084984,0.038462,0.038439,0.115385,0.038439
winter_jackets,Regatta,6,0.000001,0.000000,0.051099,0,,0.003846,0.038439
winter_jackets,Muji,7,0.000000,0.000000,0.174019,0,,0.003846,0.038439
winter_jackets,MontBell,8,0.000000,0.000000,0.024127,0,,0.026923,0.038439
winter_jackets,Wellensteyn,9,0.000000,0.000000,0.335495,0.003846,0.038439,0.011538,0.038439
winter_jackets,Bogner,10,0.000000,0.000000,0.016352,0,,0,
winter_jackets,Barbour,11,0.000000,0.000000,0.020233,0.019231,0.038439,0.076923,0.038439
winter_jackets,Mammut,12,0.000000,0.000000,0.014315,0,,0.030769,0.038439
winter_jackets,Montbell,13,0.000000,0.000000,0.011931,0,,0.026923,0.038439
winter_jackets,Patagonia,14,0.000000,0.000000,0.008429,0.003846,0.038439,0.634615,0.038439
winter_jackets,Fjällräven,15,0.000000,0.000000,0.009767,0,,0.007692,0.038439
winter_jackets,Berghaus,16,0.000000,0.000000,0.006216,0,,0.026923,0.038439
winter_jackets,Trespass,17,0.000000,0.000000,0.023215,0,,0.007692,0.038439
winter_jackets,"John Lewis & Partners",18,0.000000,0.000000,0.877718,0.007692,0.038439,0.011538,0.038439
winter_jackets,Adidas,19,0.000000,0.000000,0.006595,0.011538,0.038439,0.030769,0.038439
winter_jackets,Montane,20,0.000000,0.000000,0.003029,0,,0,
winter_jackets,Burberry,21,0.000000,0.000000,0.003159,0.019231,0.038439,0.061538,0.038439
winter_jackets,"Columbia Sportswear",22,0.000000,0.000000,0.003248,0,,0.061538,0.038439
winter_jackets,Nike,23,0.000000,0.000000,0.003471,0,,0.007692,0.038439
winter_jackets,Columbia,24,0.000000,0.000000,0.001817,0,,0.246154,0.038439
winter_jackets,Zalando,25,0.000000,0.000000,0.001320,0.019231,0.038439,0.026923,0.038439
winter_jackets,Arc'teryx,26,0.000000,0.000000,0.001405,0,,0.134615,0.038439
winter_jackets,Moncler,27,0.000000,0.000000,0.001678,0,,0.053846,0.038439
winter_jackets,Descente,28,0.000000,0.000000,0.000894,0,,0,
winter_jackets,ZOZOTOWN,29,0.000000,0.000000,0.000888,0,,0,
winter_jackets,"Canada Goose",30,0.000000,0.000000,0.001036,0,,0.138462,0.038439
winter_jackets,REI,31,0.000000,0.000000,0.000756,0,,0.003846,0.038439
winter_jackets,Amazon,32,0.000000,0.000000,0.000726,0.015385,0.038439,0.038462,0.038439
winter_jackets,"John Lewis",33,0.000000,0.000000,0.000720,0.007692,0.038439,0.019231,0.038439
winter_jackets,Otto,34,0.000000,0.000000,0.000402,0,,0.015385,0.038439
winter_jackets,Zara,35,0.000000,0.000000,0.000478,0,,0.003846,0.038439
winter_jackets,Decathlon,36,0.000000,0.000000,0.000488,0,,0.011538,0.038439
winter_jackets,Schöffel,37,0.000000,0.000000,0.000274,0,,0,
winter_jackets,Vaude,38,0.000000,0.000000,0.000198,0,,0,
winter_jackets,H&M,39,0.000000,0.000000,0.000471,0,,0,
winter_jackets,"Helly Hansen",40,0.000000,0.000000,0.000165,0,,0,
winter_jackets,"Marks & Spencer",41,0.000000,0.000000,0.000234,0,,0.015385,0.038439
winter_jackets,"About You",42,0.000000,0.000000,0.000127,0,,0,
winter_jackets,"Eddie Bauer",43,0.000000,0.000000,0.000195,0,,0,
winter_jackets,Marmot,44,0.000000,0.000000,0.000165,0,,0,
winter_jackets,"Mountain Warehouse",45,0.000000,0.000000,0.000565,0,,0,
winter_jackets,Superdry,46,0.000000,0.000000,0.000126,0,,0,
winter_jackets,Next,47,0.000000,0.000000,0.000093,0,,0.011538,0.038439
winter_jackets,ASOS,48,0.000000,0.000000,0.000040,0,,0.003846,0.038439
winter_jackets,L.L.Bean,49,0.000000,0.000000,0.000218,0,,0,
winter_jackets,Burton,50,0.000000,0.000000,0.000008,0,,0,
