category,entity,pl_rank,pl_score,pl_ci_low,pl_ci_high,freq_top1,freq_top1_ci,freq_top3,freq_top3_ci
yoga_mats,"Yahoo! Shopping Japan",1,0.112947,0.000000,0.138255,0,,0.003226,0.035203
yoga_mats,Manduka,2,0.089485,0.000000,0.132324,0.374194,0.035203,0.887097,0.035203
yoga_mats,MUJI,3,0.088928,0.000000,0.975245,0.003226,0.035203,0.003226,0.035203
yoga_mats,YogaEasy,4,0.074031,0.000000,0.975443,0.003226,0.035203,0.003226,0.035203
yoga_mats,Liforme,5,0.067564,0.000000,0.101808,0.348387,0.035203,0.812903,0.035203
yoga_mats,"Yoga Matters",6,0.059437,0.000000,0.074421,0.009677,0.035203,0.003226,0.035203
yoga_mats,Yogamatters,7,0.053531,0.000000,0.088375,0.009677,0.035203,0.003226,0.035203
yoga_mats,Yogistar,8,0.034002,0.000000,0.065248,0,,0.006452,0.035203
yoga_mats,Amazon,9,0.032245,0.000000,0.063018,0.116129,0.035203,0.122581,0.035203
yoga_mats,YogaMatters,10,0.030046,0.000000,0.136197,0.009677,0.035203,0.003226,0.035203
yoga_mats,Domyos,11,0.026403,0.000000,0.048069,0,,0,
yoga_mats,"Jade Yoga",12,0.021670,0.000000,0.030268,0,,0.048387,0.035203
yoga_mats,Muji,13,0.020437,0.000000,0.051275,0.003226,0.035203,0.003226,0.035203
yoga_mats,Lululemon,14,0.020247,0.000000,0.042437,0.009677,0.035203,0.029032,0.035203
yoga_mats,Amazon.de,15,0.018439,0.000000,0.981177,0.003226,0.035203,0.003226,0.035203
yoga_mats,Gaiam,16,0.018336,0.000000,0.026338,0.038710,0.035203,0.358065,0.035203
yoga_mats,Decathlon,17,0.017709,0.000000,0.028089,0.009677,0.035203,0.080645,0.035203
yoga_mats,JadeYoga,18,0.016820,0.000000,0.025085,0,,0.048387,0.035203
yoga_mats,Rakuten,19,0.015869,0.000000,0.058799,0,,0.022581,0.035203
yoga_mats,Argos,20,0.013536,0.000000,0.029521,0,,0.012903,0.035203
yoga_mats,"Yahoo! Shopping",21,0.013464,0.000000,0.088784,0,,0.003226,0.035203
yoga_mats,OTTO,22,0.012981,0.000000,0.033482,0,,0.003226,0.035203
yoga_mats,Adidas,23,0.011730,0.000000,0.037135,0,,0.003226,0.035203
yoga_mats,Sport-Thieme,24,0.010233,0.000000,0.050924,0,,0.009677,0.035203
yoga_mats,"Decathlon (Domyos)",25,0.009895,0.000000,0.035656,0,,0,
yoga_mats,Yoga-Mad,26,0.009265,0.000000,0.021434,0,,0.012903,0.035203
yoga_mats,Walmart,27,0.008418,0.000000,0.014381,0,,0.006452,0.035203
yoga_mats,Nike,28,0.007023,0.000000,0.020966,0,,0.009677,0.035203
yoga_mats,Nitori,29,0.006771,0.000000,0.010804,0,,0,
yoga_mats,Heathyoga,30,0.006183,0.000000,0.018642,0,,0,
yoga_mats,Target,31,0.005304,0.000000,0.017029,0,,0.006452,0.035203
yoga_mats,"Alo Yoga",32,0.005097,0.000000,0.013668,0,,0,
yoga_mats,Otto,33,0.004910,0.000000,0.008078,0,,0.003226,0.035203
yoga_mats,"Yoga Design Lab",34,0.004679,0.000000,0.007063,0,,0.009677,0.035203
yoga_mats,SportScheck,35,0.004632,0.000000,0.110757,0,,0.003226,0.035203
yoga_mats,Asics,36,0.004336,0.000000,0.017797,0,,0,
yoga_mats,"John Lewis",37,0.003429,0.000000,0.012122,0,,0,
yoga_mats,"Hugger Mugger Yoga",38,0.002904,0.000000,0.003724,0,,0,
yoga_mats,Yogamatten.de,39,0.002900,0.000000,0.003653,0,,0,
yoga_mats,ASICS,40,0.002805,0.000000,0.003485,0,,0,
yoga_mats,"Sweaty Betty",41,0.002667,0.000000,0.003324,0,,0,
yoga_mats,Aurorae,42,0.002606,0.000000,0.003287,0,,0,
yoga_mats,REI,43,0.002569,0.000000,0.031562,0,,0.003226,0.035203
yoga_mats,"Hugger Mugger",44,0.002524,0.000000,0.004628,0,,0.003226,0.035203
yoga_mats,"Aurorae Yoga",45,0.002406,0.000000,0.002911,0,,0,
yoga_mats,"Yoga Design Co",46,0.002204,0.000000,0.002739,0,,0,
yoga_mats,YogaMatten.de,47,0.002204,0.000000,0.002756,0,,0,
yoga_mats,"Sivan Health & Fitness",48,0.002204,0.000000,0.002739,0,,0,
yoga_mats,Zalando,49,0.002172,0.000000,0.011414,0,,0,
yoga_mats,"ALO Yoga",50,0.002052,0.000000,0.002487,0,,0,
