brand,worth,worth_lo,worth_hi,n_lists
Nike,0.348299,0.007400,0.517252,80
Uniqlo,0.236670,0.000000,0.983880,80
Adidas,0.101415,0.001777,0.146033,80
"Under Armour",0.057288,0.000943,0.089852,80
CEP,0.029035,0.000232,0.110826,80
Lululemon,0.026639,0.000362,0.056137,80
ASICS,0.023615,0.000234,0.039756,80
Puma,0.023189,0.000152,0.053308,80
SKINS,0.022819,0.000025,0.168497,80
ZOZOTOWN,0.017210,0.000000,0.026341,80
CW-X,0.016216,0.000040,0.055662,80
Mizuno,0.015142,0.000154,0.034423,80
2XU,0.011348,0.000099,0.021510,80
"CEP Compression",0.010860,0.000000,0.020484,80
PUMA,0.009643,0.000000,0.026912,80
Skins,0.009183,0.000065,0.028791,80
Asics,0.008463,0.000000,0.051390,80
Gymshark,0.007383,0.000065,0.016231,80
Wacoal,0.007371,0.000000,0.009638,80
Fabletics,0.006047,0.000000,0.026212,80
Zalando,0.002692,0.000003,0.026984,80
Decathlon,0.002650,0.000006,0.008030,80
Descente,0.002349,0.000000,0.003854,80
Falke,0.001962,0.000000,0.002860,80
Spanx,0.000740,0.000000,0.002363,80
Amazon,0.000677,0.000000,0.002357,80
Reebok,0.000574,0.000000,0.002249,80
"About You",0.000520,0.000000,0.001795,80
