brand,worth,worth_lo,worth_hi,n_lists
Nike,0.686066,0.588996,0.788186,60
"Under Armour",0.301754,0.205833,0.398086,60
Adidas,0.006720,0.004296,0.007638,60
Mizuno,0.001637,0.000000,0.001831,60
PUMA,0.001610,0.000000,0.001801,60
Champion,0.000752,0.000000,0.001720,60
Asics,0.000463,0.000000,0.003241,60
Puma,0.000440,0.000188,0.000622,60
"New Balance",0.000419,0.000023,0.002246,60
Reebok,0.000090,0.000000,0.001422,60
2XU,0.000023,0.000009,0.000042,60
ASICS,0.000010,0.000000,0.001569,60
CEP,0.000006,0.000000,0.000008,60
Compressport,0.000006,0.000000,0.000009,60
CW-X,0.000002,0.000000,0.000007,60
McDavid,0.000001,0.000000,0.000009,60
SKINS,0.000001,0.000000,0.000002,60
Skins,0.000000,0.000000,0.000001,60
