brand,worth,worth_lo,worth_hi,n_lists
"Optimum Nutrition",0.794467,0.792545,0.977854,40
Myprotein,0.176632,0.000000,0.180282,40
"NOW Sports",0.008672,0.000000,0.013323,40
MuscleTech,0.006581,0.004611,0.011475,40
"Dymatize Nutrition",0.005264,0.000000,0.013852,40
Dymatize,0.003496,0.001748,0.006903,40
BSN,0.001580,0.000000,0.002517,40
"Jarrow Formulas",0.001021,0.000000,0.001682,40
"Naked Nutrition",0.000635,0.000000,0.001193,40
"Kaged Muscle",0.000491,0.000179,0.001023,40
"NOW Foods",0.000375,0.000059,0.001397,40
Cellucor,0.000253,0.000000,0.004810,40
"Transparent Labs",0.000226,0.000000,0.002916,40
"Universal Nutrition",0.000155,0.000000,0.000259,40
BulkSupplements,0.000105,0.000005,0.000302,40
NutraBio,0.000022,0.000000,0.000135,40
"Bulk Supplements",0.000011,0.000001,0.000053,40
"Allmax Nutrition",0.000011,0.000003,0.000085,40
Nutricost,0.000002,0.000000,0.000043,40
