brand,worth,worth_lo,worth_hi,n_lists
Rakuten,0.423762,0.000000,0.536396,80
Nike,0.252995,0.000000,0.938706,80
Amazon,0.132061,0.000000,0.954504,80
Zalando,0.122898,0.000000,0.260613,80
PUMA,0.035729,0.000000,0.101284,80
Adidas,0.027040,0.000000,0.106154,80
Asics,0.001119,0.000000,0.005574,80
Reebok,0.000982,0.000000,0.005573,80
"Under Armour",0.000912,0.000000,0.005056,80
Puma,0.000845,0.000000,0.005543,80
Decathlon,0.000635,0.000000,0.020580,80
ASICS,0.000432,0.000000,0.002492,80
Mizuno,0.000364,0.000000,0.001559,80
"New Balance",0.000224,0.000000,0.001056,80
