brand,worth,worth_lo,worth_hi,n_lists
NordicTrack,0.933678,0.858523,0.989208,40
ProForm,0.050585,0.009108,0.095668,40
"Life Fitness",0.004327,0.000185,0.012294,40
"Sole Fitness",0.004121,0.000240,0.011815,40
"Schwinn Fitness",0.003429,0.000000,0.007368,40
Precor,0.001238,0.000038,0.003595,40
Bowflex,0.001156,0.000014,0.018225,40
"Horizon Fitness",0.000812,0.000018,0.005296,40
Schwinn,0.000212,0.000000,0.000539,40
Technogym,0.000212,0.000000,0.000420,40
"Vision Fitness",0.000212,0.000000,0.000415,40
"Matrix Fitness",0.000020,0.000001,0.000108,40
