brand,worth,worth_lo,worth_hi,n_lists
"TriggerPoint Performance",0.531236,0.310904,0.777486,100
"TriggerPoint Performance Therapy",0.448635,0.190754,0.682863,100
TriggerPoint,0.015353,0.001705,0.091027,100
BLACKROLL,0.001293,0.000000,0.011066,100
OPTP,0.000711,0.000084,0.001140,100
LifePro,0.000393,0.000000,0.000493,100
Blackroll,0.000333,0.000037,0.000557,100
RumbleRoller,0.000321,0.000035,0.000472,100
SPRI,0.000302,0.000037,0.000431,100
"Physix Gear Fitness",0.000259,0.000000,0.000359,100
Rollga,0.000194,0.000016,0.000441,100
LuxFit,0.000154,0.000017,0.000290,100
"Black Mountain Products",0.000143,0.000012,0.000299,100
"Rogue Fitness",0.000113,0.000009,0.000197,100
Acumobility,0.000095,0.000000,0.000262,100
Harbinger,0.000082,0.000000,0.000121,100
"Sivan Health & Fitness",0.000063,0.000000,0.000092,100
Gaiam,0.000041,0.000002,0.000074,100
"CAP Barbell",0.000041,0.000002,0.000083,100
TheraBand,0.000040,0.000000,0.000055,100
Stamina,0.000038,0.000000,0.000056,100
"Sunny Health & Fitness",0.000036,0.000000,0.000051,100
"Roll Recovery",0.000036,0.000000,0.000045,100
"Mueller Sports Medicine",0.000036,0.000000,0.000045,100
Hyperice,0.000034,0.000000,0.000235,100
Yes4All,0.000008,0.000000,0.000033,100
"Power Systems",0.000008,0.000000,0.000026,100
