brand,worth,worth_lo,worth_hi,n_lists
Golfposer,0.500007,0.000000,0.972714,100
adidas,0.499988,0.000000,0.967700,100
"Nike Golf",0.000001,0.000000,0.491969,100
Descente,0.000001,0.000000,0.173097,100
Nike,0.000001,0.000000,0.135773,100
"Adidas Golf",0.000001,0.000000,0.137646,100
Mizuno,0.000001,0.000000,0.106417,100
Adidas,0.000000,0.000000,0.084195,100
"American Golf",0.000000,0.000000,0.957499,100
"Nike (Golf)",0.000000,0.000000,0.001499,100
"PUMA Golf",0.000000,0.000000,0.029453,100
Srixon,0.000000,0.000000,0.042767,100
PUMA,0.000000,0.000000,0.009373,100
"Under Armour",0.000000,0.000000,0.014690,100
"Under Armour Golf",0.000000,0.000000,0.022892,100
"Puma Golf",0.000000,0.000000,0.018162,100
"Galvin Green",0.000000,0.000000,0.007384,100
Titleist,0.000000,0.000000,0.011921,100
Puma,0.000000,0.000000,0.005960,100
Callaway,0.000000,0.000000,0.005078,100
FootJoy,0.000000,0.000000,0.006451,100
Golfstore,0.000000,0.000000,0.003574,100
"Callaway Golf",0.000000,0.000000,0.003539,100
TaylorMade,0.000000,0.000000,0.002711,100
Lacoste,0.000000,0.000000,0.001339,100
"Ralph Lauren",0.000000,0.000000,0.001119,100
Golfino,0.000000,0.000000,0.001933,100
"Lyle & Scott",0.000000,0.000000,0.000289,100
"TaylorMade Golf",0.000000,0.000000,0.000683,100
"Peter Millar",0.000000,0.000000,0.000301,100
PING,0.000000,0.000000,0.000068,100
