brand,worth,worth_lo,worth_hi,n_lists
Bushnell,0.981733,0.981314,0.989493,60
Leupold,0.010140,0.007623,0.010383,60
Ping,0.002088,0.000000,0.002127,60
"Voice Caddie",0.001347,0.000000,0.002174,60
Garmin,0.001077,0.000311,0.002140,60
Callaway,0.001001,0.000341,0.001456,60
Nikon,0.000764,0.000261,0.001279,60
"Callaway Golf",0.000466,0.000107,0.001019,60
"Cobra Golf",0.000446,0.000000,0.000560,60
Vortex,0.000329,0.000000,0.000336,60
"Precision Pro Golf",0.000148,0.000039,0.000228,60
PING,0.000132,0.000000,0.000178,60
Topcon,0.000101,0.000000,0.000130,60
"Precision Pro",0.000076,0.000002,0.000181,60
TecTecTec,0.000067,0.000002,0.000261,60
Zeiss,0.000060,0.000000,0.000207,60
"Vortex Optics",0.000014,0.000000,0.000126,60
GolfBuddy,0.000012,0.000000,0.000033,60
