brand,worth,worth_lo,worth_hi,n_lists
FootJoy,0.458437,0.345797,0.616090,70
Nike,0.305312,0.176675,0.451178,70
Adidas,0.078054,0.039251,0.119275,70
"Nike Golf",0.067369,0.000000,0.208156,70
Titleist,0.038332,0.000000,0.045570,70
"Adidas Golf",0.034495,0.010351,0.065934,70
"ECCO Golf",0.008955,0.000000,0.012612,70
Callaway,0.003829,0.000794,0.013479,70
"PUMA Golf",0.002059,0.000000,0.023553,70
ECCO,0.001129,0.000234,0.003981,70
Mizuno,0.000552,0.000012,0.005436,70
"New Balance",0.000388,0.000073,0.000989,70
Skechers,0.000307,0.000051,0.000963,70
Puma,0.000272,0.000024,0.001425,70
"New Balance Golf",0.000247,0.000010,0.001239,70
"Under Armour",0.000166,0.000005,0.001055,70
PUMA,0.000052,0.000000,0.000112,70
"Skechers Golf",0.000045,0.000000,0.000102,70
