brand,worth,worth_lo,worth_hi,n_lists
Philips,0.872676,0.797991,0.947266,80
"Philips Automotive Lighting",0.026819,0.000000,0.035240,80
SYLVANIA,0.024126,0.000000,0.041468,80
Osram,0.020906,0.002614,0.034224,80
OSRAM,0.010335,0.000855,0.045047,80
VALEO,0.010091,0.000000,0.031454,80
"GE Lighting",0.009829,0.000000,0.016461,80
Hella,0.008279,0.001167,0.023194,80
Sylvania,0.006781,0.000275,0.086635,80
HELLA,0.002497,0.000222,0.004619,80
Valeo,0.002277,0.000244,0.002865,80
KOITO,0.001007,0.000000,0.013827,80
Bosch,0.000677,0.000048,0.001412,80
"STANLEY ELECTRIC",0.000632,0.000000,0.001389,80
Lumileds,0.000596,0.000011,0.003823,80
Petzl,0.000487,0.000050,0.063130,80
BOSCH,0.000345,0.000000,0.000463,80
Koito,0.000300,0.000006,0.000801,80
PIAA,0.000239,0.000003,0.000776,80
Denso,0.000207,0.000000,0.000229,80
"Koito Automotive Lighting",0.000203,0.000000,0.000241,80
"Black Diamond",0.000168,0.000013,0.024204,80
DENSO,0.000118,0.000000,0.000187,80
"Black Diamond Equipment",0.000112,0.000011,0.008854,80
Signify,0.000097,0.000000,0.000135,80
Marelli,0.000088,0.000000,0.000240,80
Maglite,0.000041,0.000000,0.001315,80
"Stanley Electric",0.000019,0.000000,0.000084,80
"Magneti Marelli",0.000012,0.000000,0.000086,80
"Fenix Lighting",0.000009,0.000001,0.000525,80
"JW Speaker",0.000009,0.000000,0.000085,80
Ledlenser,0.000007,0.000000,0.000200,80
Fenix,0.000003,0.000000,0.000093,80
"Led Lenser",0.000003,0.000000,0.000086,80
"Princeton Tec",0.000003,0.000000,0.000081,80
Streamlight,0.000002,0.000000,0.000064,80
Pelican,0.000001,0.000000,0.004776,80
Coast,0.000001,0.000000,0.000010,80
Nitecore,0.000001,0.000000,0.000023,80
SureFire,0.000001,0.000000,0.000048,80
MSR,0.000000,0.000000,0.000005,80
