brand,worth,worth_lo,worth_hi,n_lists
"REI Co-op",0.964198,0.222696,0.973428,280
Meindl,0.006742,0.000044,0.011858,280
Merrell,0.006596,0.000040,0.007311,280
Montbell,0.003973,0.000046,0.262055,280
Lowa,0.002234,0.000015,0.004272,280
REI,0.001852,0.000008,0.007139,280
Hanwag,0.001718,0.000011,0.002373,280
Haix,0.001433,0.000000,0.002787,280
LOWA,0.001371,0.000009,0.004151,280
Danner,0.001218,0.000006,0.001616,280
Salomon,0.000954,0.000004,0.001094,280
Berghaus,0.000705,0.000003,0.001158,280
KEEN,0.000601,0.000003,0.000900,280
Scarpa,0.000558,0.000003,0.000709,280
"Jack Wolfskin",0.000529,0.000003,0.000818,280
Vasque,0.000416,0.000002,0.000552,280
Vaude,0.000400,0.000000,0.001195,280
"The North Face",0.000381,0.000001,0.000514,280
MontBell,0.000351,0.000001,0.002959,280
Columbia,0.000283,0.000001,0.000406,280
Arc'teryx,0.000283,0.000000,0.002156,280
"La Sportiva",0.000255,0.000001,0.000386,280
Montane,0.000229,0.000000,0.000600,280
Adidas,0.000198,0.000001,0.000524,280
Keen,0.000192,0.000001,0.000309,280
VAUDE,0.000188,0.000001,0.003164,280
Altberg,0.000180,0.000000,0.000268,280
"Cotswold Outdoor",0.000161,0.000001,0.001170,280
"Decathlon UK",0.000159,0.000000,0.001448,280
Oboz,0.000150,0.000000,0.000370,280
Timberland,0.000143,0.000001,0.000243,280
Zappos,0.000101,0.000000,0.000806,280
"Go Outdoors",0.000098,0.000001,0.000557,280
Bergfreunde,0.000097,0.000000,0.000353,280
Salewa,0.000088,0.000000,0.000105,280
"Columbia Sportswear",0.000086,0.000000,0.000218,280
Regatta,0.000078,0.000000,0.000536,280
"Mountain Warehouse",0.000075,0.000000,0.002115,280
Backcountry,0.000075,0.000000,0.000620,280
"Keen Footwear",0.000074,0.000000,0.000308,280
Millets,0.000066,0.000000,0.000228,280
Hi-Tec,0.000066,0.000000,0.000076,280
Decathlon,0.000064,0.000000,0.726885,280
"Ellis Brigham",0.000061,0.000000,0.000460,280
Amazon,0.000059,0.000000,0.000689,280
Globetrotter,0.000057,0.000000,0.000128,280
Karrimor,0.000053,0.000000,0.000138,280
L.L.Bean,0.000051,0.000000,0.001298,280
Asolo,0.000042,0.000000,0.000049,280
"Adidas Terrex",0.000025,0.000000,0.000104,280
Snow+Rock,0.000020,0.000000,0.000272,280
Zalando,0.000006,0.000000,0.000098,280
Moosejaw,0.000005,0.000000,0.000040,280
"Dick's Sporting Goods",0.000003,0.000000,0.000058,280
Cabela's,0.000001,0.000000,0.000022,280
