brand,worth,worth_lo,worth_hi,n_lists
Adidas,0.477653,0.376822,0.591054,60
Nike,0.429553,0.296987,0.578380,60
PUMA,0.055252,0.000000,0.095259,60
Puma,0.022011,0.003476,0.047733,60
Asics,0.007957,0.000000,0.013547,60
Mizuno,0.003114,0.000222,0.011370,60
"New Balance",0.002439,0.000168,0.008113,60
"Under Armour",0.000837,0.000011,0.003630,60
ASICS,0.000531,0.000000,0.006171,60
Umbro,0.000243,0.000000,0.003219,60
Diadora,0.000237,0.000004,0.001604,60
Joma,0.000164,0.000001,0.001357,60
Kelme,0.000011,0.000000,0.000644,60
