brand,worth,worth_lo,worth_hi,n_lists
Merrell,0.976819,0.794117,0.984717,40
Salomon,0.013051,0.004209,0.016080,40
HOKA,0.002015,0.000000,0.021625,40
"Columbia Sportswear",0.001894,0.000000,0.002255,40
"The North Face",0.001592,0.000206,0.004456,40
KEEN,0.001213,0.000032,0.004817,40
"La Sportiva",0.001070,0.000123,0.002164,40
Columbia,0.001036,0.000106,0.002785,40
LOWA,0.000637,0.000000,0.001501,40
Keen,0.000168,0.000006,0.000596,40
Scarpa,0.000160,0.000003,0.000673,40
Altra,0.000136,0.000000,0.177206,40
Vasque,0.000117,0.000003,0.000461,40
Oboz,0.000068,0.000001,0.000889,40
Lowa,0.000024,0.000000,0.000061,40
