brand,worth,worth_lo,worth_hi,n_lists
SmartWool,0.854749,0.000000,0.927000,60
Smartwool,0.133337,0.064448,0.959756,60
"Darn Tough Vermont",0.004695,0.000986,0.053314,60
"Darn Tough",0.003110,0.000637,0.028115,60
"Minus33 Merino Wool Company",0.001932,0.000000,0.015153,60
"Farm To Feet",0.001320,0.000000,0.009334,60
Icebreaker,0.000236,0.000035,0.002539,60
Bombas,0.000153,0.000000,0.001114,60
"Farm to Feet",0.000127,0.000009,0.001524,60
Minus33,0.000068,0.000007,0.000733,60
"Fox River",0.000066,0.000000,0.000865,60
Wigwam,0.000050,0.000007,0.000392,60
"Wigwam Mills",0.000043,0.000001,0.001006,60
Injinji,0.000037,0.000000,0.000409,60
Point6,0.000014,0.000000,0.000114,60
"Fox River Mills",0.000013,0.000001,0.000115,60
Woolx,0.000013,0.000000,0.000168,60
Patagonia,0.000009,0.000000,0.000042,60
Bridgedale,0.000009,0.000000,0.000058,60
Wool&Prince,0.000006,0.000000,0.000043,60
Allbirds,0.000006,0.000000,0.000057,60
Lorpen,0.000004,0.000000,0.000042,60
Swiftwick,0.000002,0.000000,0.000009,60
Thorlo,0.000001,0.000000,0.000066,60
Stance,0.000001,0.000000,0.000011,60
