brand,worth,worth_lo,worth_hi,n_lists
Selkirk,0.392713,0.226046,0.726862,70
"Selkirk Sport",0.238595,0.107449,0.384937,70
Paddletek,0.230650,0.104684,0.317009,70
ONIX,0.039642,0.000000,0.073173,70
Onix,0.030790,0.007818,0.062836,70
ProLite,0.023713,0.000000,0.030027,70
"Gearbox Paddles",0.009628,0.000000,0.017070,70
"ONIX Pickleball",0.009519,0.000000,0.047976,70
"Onix Pickleball",0.008449,0.001216,0.023286,70
Engage,0.006292,0.000690,0.023167,70
Gamma,0.003426,0.000272,0.010957,70
"Gamma Sports",0.003055,0.000456,0.007918,70
"Engage Pickleball",0.001091,0.000150,0.003513,70
Franklin,0.000670,0.000000,0.001408,70
Pro-Lite,0.000605,0.000000,0.001032,70
"Gearbox Sports",0.000512,0.000000,0.022193,70
Gearbox,0.000250,0.000000,0.001023,70
HEAD,0.000246,0.000000,0.001574,70
"Franklin Sports",0.000119,0.000003,0.000768,70
Wilson,0.000031,0.000001,0.000457,70
Head,0.000005,0.000000,0.000266,70
