brand,worth,worth_lo,worth_hi,n_lists
"Optimum Nutrition",0.964541,0.952083,0.973698,60
"Dymatize Nutrition",0.026500,0.016399,0.039368,60
Dymatize,0.007680,0.005358,0.011097,60
MuscleTech,0.000441,0.000141,0.000634,60
BSN,0.000203,0.000042,0.000448,60
Muscletech,0.000198,0.000000,0.000264,60
"Ghost Lifestyle",0.000142,0.000000,0.000198,60
Myprotein,0.000123,0.000005,0.002619,60
Isopure,0.000075,0.000014,0.000134,60
Cellucor,0.000051,0.000011,0.000096,60
"Transparent Labs",0.000022,0.000000,0.000114,60
"Kaged Muscle",0.000010,0.000000,0.000015,60
"Quest Nutrition",0.000010,0.000000,0.000031,60
"Garden of Life",0.000001,0.000000,0.000010,60
Orgain,0.000001,0.000000,0.000003,60
