brand,worth,worth_lo,worth_hi,n_lists
Theraband,0.955216,0.000000,0.968999,100
CanDo,0.011582,0.000000,0.259511,100
SPRI,0.008438,0.006394,0.322922,100
TheraBand,0.006465,0.004563,0.248027,100
"Rogue Fitness",0.002661,0.001850,0.111453,100
"Black Mountain Products",0.002537,0.002030,0.093719,100
JFIT,0.002394,0.000000,0.077477,100
Bodylastics,0.002324,0.001863,0.082315,100
TRX,0.001070,0.000168,0.114966,100
Harbinger,0.000970,0.000459,0.052554,100
GoFit,0.000959,0.000193,0.042526,100
"FIT Simplify",0.000734,0.000000,0.025774,100
Gymreapers,0.000706,0.000000,0.021187,100
Cando,0.000671,0.000000,0.021576,100
Tumaz,0.000459,0.000000,0.014667,100
ProSourceFit,0.000383,0.000000,0.034471,100
GymBandit,0.000343,0.000000,0.017977,100
"Rep Fitness",0.000286,0.000094,0.011249,100
LifePro,0.000254,0.000000,0.008542,100
SKLZ,0.000254,0.000000,0.008225,100
"Power Systems",0.000242,0.000036,0.014391,100
"Fit Simplify",0.000204,0.000068,0.009367,100
"WOD Nation",0.000179,0.000014,0.010527,100
"Sivan Health & Fitness",0.000178,0.000000,0.005624,100
"Cap Barbell",0.000176,0.000000,0.012780,100
"Physix Gear Sport",0.000128,0.000000,0.004082,100
Whatafit,0.000111,0.000000,0.008123,100
Yes4All,0.000050,0.000000,0.006042,100
Letsfit,0.000017,0.000000,0.001354,100
"Sivan Health and Fitness",0.000008,0.000000,0.002427,100
