brand,worth,worth_lo,worth_hi,n_lists
Concept2,0.654439,0.014422,0.976619,40
"WinTech Boats",0.158722,0.000000,0.191467,40
WaterRower,0.084973,0.001360,0.110265,40
"Pocock Racing Shells",0.052458,0.000000,0.978964,40
Hydrow,0.014351,0.000119,0.022864,40
Vespoli,0.007869,0.000003,0.108058,40
"Hudson Boat Works",0.006622,0.000000,0.310155,40
Filippi,0.004068,0.000001,0.024140,40
Ergatta,0.003980,0.000000,0.006411,40
Empacher,0.002658,0.000001,0.015883,40
Aviron,0.001769,0.000006,0.004417,40
WinTech,0.001637,0.000000,0.026239,40
NordicTrack,0.001627,0.000005,0.004500,40
Nelo,0.001562,0.000000,0.009426,40
"Life Fitness",0.000788,0.000001,0.001922,40
"First Degree Fitness",0.000766,0.000001,0.001628,40
"WinTech Racing",0.000584,0.000000,0.004744,40
"Sunny Health & Fitness",0.000296,0.000000,0.000524,40
Kettler,0.000296,0.000000,0.000626,40
ProForm,0.000296,0.000000,0.000525,40
"Matrix Fitness",0.000150,0.000000,0.000206,40
"Janousek Boats",0.000091,0.000000,0.000318,40
