brand,worth,worth_lo,worth_hi,n_lists
Nike,0.602827,0.488986,0.667320,290
Adidas,0.186960,0.144027,0.219015,290
PUMA,0.051574,0.019761,0.112773,290
Mizuno,0.038705,0.017264,0.084924,290
NIKE,0.036047,0.004222,0.125640,290
ASICS,0.017942,0.009263,0.029013,290
ADIDAS,0.013872,0.000807,0.055908,290
Asics,0.013613,0.008453,0.017177,290
Puma,0.009938,0.005493,0.014635,290
"New Balance",0.008928,0.005677,0.011042,290
"Brooks Running",0.004837,0.001043,0.016545,290
Brooks,0.004420,0.002471,0.006282,290
Decathlon,0.002975,0.000000,0.032573,290
Hoka,0.002372,0.000149,0.006828,290
Wiggle,0.001353,0.000000,0.001565,290
MIZUNO,0.001001,0.000000,0.008499,290
"NEW BALANCE",0.001001,0.000000,0.007521,290
Zalando,0.000664,0.000000,0.005361,290
HOKA,0.000346,0.000000,0.001109,290
"Under Armour",0.000287,0.000119,0.001128,290
Skechers,0.000208,0.000095,0.000590,290
Saucony,0.000128,0.000024,0.000465,290
