brand,worth,worth_lo,worth_hi,n_lists
Nike,0.672211,0.520748,0.945638,70
Asics,0.153028,0.000000,0.174422,70
"Under Armour",0.074175,0.009549,0.119097,70
SmartWool,0.026565,0.000000,0.051082,70
Adidas,0.021592,0.001675,0.048746,70
ASICS,0.021108,0.001605,0.068441,70
Saucony,0.007282,0.000000,0.023686,70
Puma,0.006592,0.000000,0.016351,70
"New Balance",0.005042,0.000124,0.014932,70
Brooks,0.004677,0.000062,0.028545,70
Balega,0.002324,0.000007,0.013237,70
Swiftwick,0.001058,0.000002,0.008633,70
"Darn Tough",0.000995,0.000002,0.011144,70
Feetures,0.000934,0.000002,0.006598,70
Injinji,0.000918,0.000000,0.004824,70
Thorlo,0.000829,0.000002,0.004770,70
Smartwool,0.000670,0.000002,0.004683,70
