brand,worth,worth_lo,worth_hi,n_lists
"Tangram Factory",0.216983,0.001893,0.511959,40
"Omron Healthcare",0.187327,0.000000,0.255991,40
"LifePro Fitness",0.138919,0.000000,0.221833,40
"RX Smart Rope",0.123744,0.000000,0.196449,40
SportCount,0.055962,0.000000,0.079673,40
"Rx Smart Gear",0.051353,0.000698,0.157922,40
Tangram,0.049597,0.002261,0.916653,40
RENPHO,0.030832,0.000000,0.227503,40
"Xiaomi (Mijia)",0.026811,0.000000,0.067496,40
"RX Smart Gear",0.024304,0.000114,0.148621,40
Renpho,0.022483,0.000000,0.139132,40
"MYX Fitness",0.016798,0.000000,0.029089,40
JAXJOX,0.016711,0.000071,0.042927,40
Crossrope,0.012062,0.000049,0.025453,40
Xiaomi,0.009049,0.000000,0.067477,40
Hyperice,0.004921,0.000000,0.008307,40
"Epitomie Fitness",0.004656,0.000000,0.010251,40
"Sunny Health & Fitness",0.002108,0.000000,0.007319,40
Moov,0.001214,0.000000,0.002173,40
"Beast Gear",0.001065,0.000000,0.002322,40
SKLZ,0.000778,0.000002,0.002033,40
SPRI,0.000677,0.000000,0.002352,40
GROSCHE,0.000663,0.000000,0.001511,40
"Rogue Fitness",0.000408,0.000000,0.002373,40
"WOD Nation",0.000301,0.000000,0.001122,40
Everlast,0.000059,0.000000,0.000161,40
"Buddy Lee Jump Rope",0.000058,0.000000,0.000147,40
Sportneer,0.000058,0.000000,0.000154,40
"Beast Rope",0.000057,0.000000,0.000149,40
"Buddy Lee Jump Ropes",0.000043,0.000000,0.000098,40
