brand,worth,worth_lo,worth_hi,n_lists
adidas,0.987938,0.000000,0.988844,300
Nike,0.008418,0.007628,0.733975,300
Adidas,0.003522,0.002755,0.318998,300
PUMA,0.000035,0.000013,0.040786,300
Puma,0.000028,0.000018,0.002991,300
JAKO,0.000011,0.000000,0.001069,300
Mizuno,0.000008,0.000004,0.000981,300
ASICS,0.000008,0.000002,0.001267,300
Decathlon,0.000007,0.000000,0.000687,300
Amazon.de,0.000007,0.000000,0.000732,300
11teamsports,0.000005,0.000000,0.001073,300
Diadora,0.000003,0.000000,0.000317,300
Umbro,0.000003,0.000002,0.000373,300
"New Balance",0.000002,0.000001,0.000259,300
Asics,0.000002,0.000000,0.000440,300
"Under Armour",0.000001,0.000001,0.000112,300
Amazon,0.000000,0.000000,0.000053,300
Soccer.com,0.000000,0.000000,0.000015,300
"Foot Locker",0.000000,0.000000,0.000178,300
Zalando,0.000000,0.000000,0.000015,300
"Pro:Direct Soccer",0.000000,0.000000,0.000009,300
