brand,worth,worth_lo,worth_hi,n_lists
Peloton,0.683725,0.509710,0.898533,100
Schwinn,0.073513,0.021859,0.123635,100
NordicTrack,0.067745,0.021928,0.106064,100
ProForm,0.037568,0.012582,0.059292,100
Keiser,0.036487,0.012371,0.062754,100
"Schwinn Fitness",0.032078,0.010296,0.070628,100
"Sole Fitness",0.016808,0.000000,0.057275,100
"Life Fitness",0.013884,0.003567,0.029225,100
Precor,0.007915,0.001500,0.021937,100
Echelon,0.006962,0.000000,0.009806,100
Bowflex,0.005007,0.000345,0.021694,100
"Sunny Health & Fitness",0.004631,0.000550,0.011648,100
"Spirit Fitness",0.004314,0.000000,0.006036,100
Concept2,0.004099,0.000000,0.006091,100
Technogym,0.002396,0.000000,0.003873,100
"Matrix Fitness",0.001915,0.000042,0.007999,100
"Stages Cycling",0.000954,0.000000,0.001766,100
