brand,worth,worth_lo,worth_hi,n_lists
CW-X,0.500007,0.000000,0.991393,310
adidas,0.499988,0.000000,0.991105,310
Nike,0.000004,0.000000,0.807683,310
Adidas,0.000000,0.000000,0.098604,310
"Under Armour",0.000000,0.000000,0.022289,310
Mizuno,0.000000,0.000000,0.026857,310
ASICS,0.000000,0.000000,0.016192,310
Puma,0.000000,0.000000,0.011448,310
PUMA,0.000000,0.000000,0.009516,310
Panache,0.000000,0.000000,0.008187,310
"Panache Lingerie",0.000000,0.000000,0.006292,310
Uniqlo,0.000000,0.000000,0.014744,310
Lululemon,0.000000,0.000000,0.007171,310
Asics,0.000000,0.000000,0.008443,310
Wacoal,0.000000,0.000000,0.005929,310
Decathlon,0.000000,0.000000,0.005107,310
Gymshark,0.000000,0.000000,0.005805,310
Anita,0.000000,0.000000,0.005598,310
"Sweaty Betty",0.000000,0.000000,0.002994,310
Amazon,0.000000,0.000000,0.002319,310
Hanes,0.000000,0.000000,0.001940,310
Freya,0.000000,0.000000,0.004031,310
Triumph,0.000000,0.000000,0.009757,310
ASOS,0.000000,0.000000,0.001551,310
Zalando,0.000000,0.000000,0.004344,310
ANITA,0.000000,0.000000,0.001379,310
Berlei,0.000000,0.000000,0.005411,310
Reebok,0.000000,0.000000,0.001831,310
Spanx,0.000000,0.000000,0.001227,310
Brooks,0.000000,0.000000,0.001300,310
"Victoria's Secret",0.000000,0.000000,0.001878,310
"Shock Absorber",0.000000,0.000000,0.001730,310
"Calvin Klein",0.000000,0.000000,0.000710,310
Athleta,0.000000,0.000000,0.000836,310
Champion,0.000000,0.000000,0.000532,310
"New Balance",0.000000,0.000000,0.000327,310
Fabletics,0.000000,0.000000,0.000638,310
"Sports Direct",0.000000,0.000000,0.000338,310
Oysho,0.000000,0.000000,0.000326,310
"Marks & Spencer",0.000000,0.000000,0.000308,310
