brand,worth,worth_lo,worth_hi,n_lists
"Hydro Flask",0.418846,0.345334,0.548004,60
CamelBak,0.370098,0.293529,0.513158,60
Nike,0.095784,0.000000,0.108065,60
Nalgene,0.082884,0.051993,0.132240,60
YETI,0.010519,0.002476,0.033225,60
"Klean Kanteen",0.008196,0.002128,0.016783,60
Contigo,0.004596,0.001348,0.010835,60
Takeya,0.002711,0.000165,0.010750,60
Thermos,0.002322,0.000055,0.016255,60
Stanley,0.002065,0.000122,0.010003,60
"Polar Bottle",0.000744,0.000000,0.003034,60
HydraPak,0.000598,0.000000,0.001613,60
S'well,0.000337,0.000052,0.001564,60
SIGG,0.000299,0.000064,0.003007,60
