brand,worth,worth_lo,worth_hi,n_lists
Oakley,0.909601,0.852914,0.970067,60
Nike,0.047734,0.011102,0.099013,60
"Nike Vision",0.033866,0.017590,0.051563,60
"Adidas Eyewear",0.007616,0.000000,0.010633,60
"Under Armour",0.000595,0.000149,0.001163,60
Adidas,0.000301,0.000075,0.000598,60
Bollé,0.000187,0.000000,0.000405,60
"Smith Optics",0.000034,0.000004,0.000080,60
"Maui Jim",0.000022,0.000001,0.000093,60
"Tifosi Optics",0.000014,0.000001,0.000036,60
"Rudy Project",0.000011,0.000000,0.000040,60
Ray-Ban,0.000010,0.000000,0.000064,60
Costa,0.000005,0.000000,0.000014,60
Tifosi,0.000002,0.000000,0.000010,60
POC,0.000001,0.000000,0.000044,60
Julbo,0.000001,0.000000,0.000005,60
Bolle,0.000000,0.000000,0.000001,60
