brand,worth,worth_lo,worth_hi,n_lists
Speedo,0.954546,0.881727,0.989663,60
TYR,0.040715,0.010042,0.099216,60
Oakley,0.001155,0.000000,0.005019,60
Uvex,0.000860,0.000000,0.003778,60
Arena,0.000735,0.000075,0.004095,60
"Aqua Sphere",0.000532,0.000052,0.002875,60
UVEX,0.000519,0.000000,0.002501,60
FINIS,0.000302,0.000019,0.002149,60
Finis,0.000286,0.000022,0.001734,60
Zoggs,0.000171,0.000015,0.000989,60
"Mad Wave",0.000068,0.000000,0.000325,60
Head,0.000067,0.000000,0.000307,60
Cressi,0.000030,0.000000,0.000135,60
"Michael Phelps",0.000014,0.000000,0.000197,60
