brand,worth,worth_lo,worth_hi,n_lists
Nike,0.988271,0.986411,0.989541,60
Adidas,0.011287,0.010211,0.011560,60
"Under Armour",0.000178,0.000113,0.000225,60
Head,0.000083,0.000000,0.000114,60
Lacoste,0.000046,0.000017,0.000069,60
Asics,0.000037,0.000000,0.000045,60
Puma,0.000024,0.000008,0.000041,60
Yonex,0.000024,0.000004,0.000073,60
Fila,0.000017,0.000005,0.000032,60
"New Balance",0.000010,0.000003,0.000015,60
Wilson,0.000010,0.000000,0.000047,60
ASICS,0.000009,0.000000,0.002040,60
Mizuno,0.000004,0.000000,0.000008,60
