brand,worth,worth_lo,worth_hi,n_lists
Nike,0.661405,0.004784,0.731412,250
Adidas,0.249884,0.001623,0.283685,250
ASICS,0.026969,0.000128,0.042268,250
Asics,0.015913,0.000078,0.023393,250
"New Balance",0.007355,0.000034,0.010258,250
Amazon,0.005276,0.000000,0.992375,250
Yonex,0.005214,0.000020,0.010599,250
Puma,0.004566,0.000018,0.006826,250
Babolat,0.004040,0.000000,0.056927,250
NIKE,0.003380,0.000000,0.005291,250
Mizuno,0.002962,0.000011,0.007266,250
Wilson,0.002289,0.000005,0.005670,250
Zalando,0.001999,0.000001,0.054303,250
K-Swiss,0.001318,0.000000,0.001640,250
"Onitsuka Tiger",0.001318,0.000000,0.001710,250
ADIDAS,0.000949,0.000000,0.001492,250
Head,0.000925,0.000000,0.001529,250
Decathlon,0.000909,0.000001,0.004136,250
PUMA,0.000891,0.000001,0.003455,250
"Foot Locker",0.000747,0.000001,0.036253,250
"JD Sports",0.000530,0.000000,0.004055,250
Snipes,0.000479,0.000000,0.003071,250
"Under Armour",0.000413,0.000000,0.001394,250
MIZUNO,0.000155,0.000000,0.000245,250
Skechers,0.000076,0.000000,0.000145,250
"Sports Direct",0.000038,0.000000,0.000397,250
