brand,worth,worth_lo,worth_hi,n_lists
"Osprey Packs",0.939635,0.845238,0.970263,70
Osprey,0.048954,0.023134,0.143528,70
Deuter,0.003443,0.001311,0.004969,70
Gregory,0.002050,0.000871,0.002810,70
"The North Face",0.001623,0.000502,0.003627,70
Arc'teryx,0.001063,0.000361,0.001579,70
CamelBak,0.000959,0.000005,0.022170,70
Patagonia,0.000937,0.000312,0.001763,70
Fjällräven,0.000319,0.000015,0.001178,70
"Granite Gear",0.000299,0.000000,0.000399,70
"Mystery Ranch",0.000222,0.000013,0.000668,70
Kelty,0.000201,0.000000,0.000242,70
Fjallraven,0.000147,0.000000,0.000179,70
"Mountain Hardwear",0.000147,0.000000,0.000183,70
