brand,worth,worth_lo,worth_hi,n_lists
Merrell,0.987581,0.976656,0.990574,70
Salomon,0.007997,0.006394,0.010043,70
Columbia,0.001411,0.000000,0.004820,70
Vasque,0.000653,0.000181,0.001350,70
LOWA,0.000535,0.000000,0.001240,70
"The North Face",0.000418,0.000000,0.009751,70
"La Sportiva",0.000411,0.000111,0.000718,70
Danner,0.000329,0.000067,0.000729,70
Scarpa,0.000259,0.000064,0.000432,70
Lowa,0.000182,0.000027,0.000564,70
Keen,0.000086,0.000005,0.000272,70
Oboz,0.000083,0.000014,0.000171,70
KEEN,0.000055,0.000000,0.000082,70
