brand,worth,worth_lo,worth_hi,n_lists
ASICS,0.313012,0.200569,0.489635,180
Salomon,0.189530,0.134907,0.259889,180
Mizuno,0.124825,0.081900,0.169142,180
"HOKA ONE ONE",0.057978,0.028315,0.106695,180
HOKA,0.046368,0.025528,0.078373,180
"Brooks Running",0.031535,0.012515,0.081387,180
"Hoka One One",0.029109,0.015153,0.044232,180
"Altra Running",0.023448,0.000000,0.032265,180
Adidas,0.022109,0.011522,0.037130,180
Hoka,0.021941,0.011020,0.032235,180
Nike,0.021508,0.011589,0.031734,180
Inov-8,0.021472,0.007516,0.047059,180
Brooks,0.013527,0.007066,0.019979,180
"La Sportiva",0.012655,0.005857,0.024771,180
"The North Face",0.011600,0.004651,0.024105,180
"Adidas Terrex",0.010088,0.003080,0.027025,180
Altra,0.009547,0.004322,0.015903,180
Merrell,0.007963,0.003347,0.014964,180
NIKE,0.007097,0.000000,0.009773,180
Saucony,0.006497,0.002760,0.010327,180
On,0.006185,0.000310,0.029042,180
"On Running",0.004839,0.000000,0.017168,180
Asics,0.002867,0.000124,0.050898,180
Columbia,0.001506,0.000000,0.002064,180
Wiggle,0.001365,0.000000,0.001724,180
"New Balance",0.000856,0.000267,0.005584,180
Decathlon,0.000572,0.000000,0.002261,180
