brand,worth,worth_lo,worth_hi,n_lists
Orca,0.266218,0.142943,0.471268,40
"Quintana Roo",0.249028,0.000000,0.282302,40
Blueseventy,0.200521,0.123107,0.316224,40
TYR,0.086281,0.031047,0.190484,40
Zone3,0.038842,0.015013,0.068580,40
ROKA,0.031615,0.000788,0.327103,40
2XU,0.031011,0.003824,0.075717,40
HUUB,0.027728,0.007524,0.052436,40
Sailfish,0.014760,0.000000,0.046067,40
"De Soto",0.012986,0.000782,0.028809,40
Huub,0.011367,0.000242,0.129342,40
"Aqua Sphere",0.010464,0.000247,0.040044,40
Zoot,0.007885,0.000000,0.355223,40
Speedo,0.005150,0.000000,0.022378,40
"Rip Curl",0.004254,0.000000,0.006478,40
"De Soto Sports",0.001891,0.000000,0.004459,40
