brand,worth,worth_lo,worth_hi,n_lists
UNIQLO,0.892139,0.000000,0.966276,260
MUJI,0.107849,0.000000,0.121246,260
Uniqlo,0.000007,0.000000,0.723347,260
"The North Face",0.000001,0.000000,0.089575,260
"Jack Wolfskin",0.000001,0.000000,0.084984,260
Regatta,0.000001,0.000000,0.051099,260
Muji,0.000000,0.000000,0.174019,260
MontBell,0.000000,0.000000,0.024127,260
Wellensteyn,0.000000,0.000000,0.335495,260
Bogner,0.000000,0.000000,0.016352,260
Barbour,0.000000,0.000000,0.020233,260
Mammut,0.000000,0.000000,0.014315,260
Montbell,0.000000,0.000000,0.011931,260
Patagonia,0.000000,0.000000,0.008429,260
Fjällräven,0.000000,0.000000,0.009767,260
Berghaus,0.000000,0.000000,0.006216,260
Trespass,0.000000,0.000000,0.023215,260
"John Lewis & Partners",0.000000,0.000000,0.877718,260
Adidas,0.000000,0.000000,0.006595,260
Montane,0.000000,0.000000,0.003029,260
Burberry,0.000000,0.000000,0.003159,260
"Columbia Sportswear",0.000000,0.000000,0.003248,260
Nike,0.000000,0.000000,0.003471,260
Columbia,0.000000,0.000000,0.001817,260
Zalando,0.000000,0.000000,0.001320,260
Arc'teryx,0.000000,0.000000,0.001405,260
Moncler,0.000000,0.000000,0.001678,260
Descente,0.000000,0.000000,0.000894,260
ZOZOTOWN,0.000000,0.000000,0.000888,260
"Canada Goose",0.000000,0.000000,0.001036,260
REI,0.000000,0.000000,0.000756,260
Amazon,0.000000,0.000000,0.000726,260
"John Lewis",0.000000,0.000000,0.000720,260
Otto,0.000000,0.000000,0.000402,260
Zara,0.000000,0.000000,0.000478,260
Decathlon,0.000000,0.000000,0.000488,260
Schöffel,0.000000,0.000000,0.000274,260
Vaude,0.000000,0.000000,0.000198,260
H&M,0.000000,0.000000,0.000471,260
"Helly Hansen",0.000000,0.000000,0.000165,260
"Marks & Spencer",0.000000,0.000000,0.000234,260
"About You",0.000000,0.000000,0.000127,260
"Eddie Bauer",0.000000,0.000000,0.000195,260
Marmot,0.000000,0.000000,0.000165,260
"Mountain Warehouse",0.000000,0.000000,0.000565,260
Superdry,0.000000,0.000000,0.000126,260
Next,0.000000,0.000000,0.000093,260
ASOS,0.000000,0.000000,0.000040,260
L.L.Bean,0.000000,0.000000,0.000218,260
Burton,0.000000,0.000000,0.000008,260
Breuninger,0.000000,0.000000,0.000012,260
"Amazon UK",0.000000,0.000000,0.000002,260
"REI Co-op",0.000000,0.000000,0.000009,260
