brand,worth,worth_lo,worth_hi,n_lists
Manduka,0.688066,0.596596,0.912352,40
"JADE Yoga",0.094158,0.000000,0.119467,40
Gaiam,0.069395,0.024129,0.132350,40
"Hugger Mugger",0.034263,0.011591,0.058388,40
JadeYoga,0.024953,0.002568,0.103987,40
"Sivan Health and Wellness",0.023434,0.000000,0.034503,40
"Jade Yoga",0.022810,0.007253,0.047189,40
Liforme,0.015338,0.000555,0.060155,40
OPTP,0.007893,0.000000,0.055389,40
Tumaz,0.005440,0.000000,0.007960,40
"Fit Simplify",0.003510,0.000000,0.005223,40
"Black Mountain Products",0.002886,0.000000,0.006260,40
CleverYoga,0.002886,0.000000,0.006996,40
Merrithew,0.002189,0.000000,0.011912,40
"Yoga Design Lab",0.001473,0.000300,0.003727,40
SPRI,0.000758,0.000000,0.003970,40
Trideer,0.000237,0.000000,0.005885,40
"Sivan Health and Fitness",0.000155,0.000015,0.000496,40
"Sivan Health & Fitness",0.000100,0.000014,0.001783,40
"Sunny Health & Fitness",0.000033,0.000000,0.000082,40
Heathyoga,0.000022,0.000000,0.005160,40
