brand,worth,worth_lo,worth_hi,n_lists
"Yahoo! Shopping Japan",0.112947,0.000000,0.138255,310
Manduka,0.089485,0.000000,0.132324,310
MUJI,0.088928,0.000000,0.975245,310
YogaEasy,0.074031,0.000000,0.975443,310
Liforme,0.067564,0.000000,0.101808,310
"Yoga Matters",0.059437,0.000000,0.074421,310
Yogamatters,0.053531,0.000000,0.088375,310
Yogistar,0.034002,0.000000,0.065248,310
Amazon,0.032245,0.000000,0.063018,310
YogaMatters,0.030046,0.000000,0.136197,310
Domyos,0.026403,0.000000,0.048069,310
"Jade Yoga",0.021670,0.000000,0.030268,310
Muji,0.020437,0.000000,0.051275,310
Lululemon,0.020247,0.000000,0.042437,310
Amazon.de,0.018439,0.000000,0.981177,310
Gaiam,0.018336,0.000000,0.026338,310
Decathlon,0.017709,0.000000,0.028089,310
JadeYoga,0.016820,0.000000,0.025085,310
Rakuten,0.015869,0.000000,0.058799,310
Argos,0.013536,0.000000,0.029521,310
"Yahoo! Shopping",0.013464,0.000000,0.088784,310
OTTO,0.012981,0.000000,0.033482,310
Adidas,0.011730,0.000000,0.037135,310
Sport-Thieme,0.010233,0.000000,0.050924,310
"Decathlon (Domyos)",0.009895,0.000000,0.035656,310
Yoga-Mad,0.009265,0.000000,0.021434,310
Walmart,0.008418,0.000000,0.014381,310
Nike,0.007023,0.000000,0.020966,310
Nitori,0.006771,0.000000,0.010804,310
Heathyoga,0.006183,0.000000,0.018642,310
Target,0.005304,0.000000,0.017029,310
"Alo Yoga",0.005097,0.000000,0.013668,310
Otto,0.004910,0.000000,0.008078,310
"Yoga Design Lab",0.004679,0.000000,0.007063,310
SportScheck,0.004632,0.000000,0.110757,310
Asics,0.004336,0.000000,0.017797,310
"John Lewis",0.003429,0.000000,0.012122,310
"Hugger Mugger Yoga",0.002904,0.000000,0.003724,310
Yogamatten.de,0.002900,0.000000,0.003653,310
ASICS,0.002805,0.000000,0.003485,310
"Sweaty Betty",0.002667,0.000000,0.003324,310
Aurorae,0.002606,0.000000,0.003287,310
REI,0.002569,0.000000,0.031562,310
"Hugger Mugger",0.002524,0.000000,0.004628,310
"Aurorae Yoga",0.002406,0.000000,0.002911,310
"Yoga Design Co",0.002204,0.000000,0.002739,310
YogaMatten.de,0.002204,0.000000,0.002756,310
"Sivan Health & Fitness",0.002204,0.000000,0.002739,310
Zalando,0.002172,0.000000,0.011414,310
"ALO Yoga",0.002052,0.000000,0.002487,310
Tesco,0.001924,0.000000,0.003337,310
"Sports Direct",0.001894,0.000000,0.002668,310
"Amazon Japan",0.000799,0.000000,0.000986,310
YogaOutlet,0.000789,0.000000,0.003965,310
"Sivan Health and Wellness",0.000780,0.000000,0.000983,310
Wayfair,0.000542,0.000000,0.001007,310
Yoloha,0.000495,0.000000,0.000746,310
IKEA,0.000367,0.000000,0.000516,310
"Dick's Sporting Goods",0.000162,0.000000,0.001197,310
