brand,worth,worth_lo,worth_hi,n_lists
Manduka,0.892675,0.776752,0.977060,40
Gaiam,0.042733,0.008534,0.101430,40
"Yoga Design Lab",0.018106,0.003384,0.042934,40
Yogitoes,0.012184,0.001668,0.039905,40
YogaDesignLab,0.006945,0.000000,0.102229,40
Lululemon,0.006850,0.000900,0.017850,40
Liforme,0.006033,0.000682,0.014457,40
"YogaDesign Lab",0.004392,0.000000,0.007126,40
"Aurorae Yoga",0.001867,0.000000,0.003156,40
"ALO Yoga",0.001727,0.000000,0.002659,40
Shandali,0.001633,0.000103,0.004226,40
"Hugger Mugger",0.001535,0.000086,0.004811,40
Heathyoga,0.000892,0.000000,0.001560,40
Tumaz,0.000829,0.000000,0.001380,40
"Alo Yoga",0.000574,0.000020,0.001601,40
Kulae,0.000506,0.000000,0.002271,40
Nike,0.000412,0.000004,0.002339,40
"Yoga Design Co.",0.000091,0.000000,0.000134,40
"Under Armour",0.000017,0.000000,0.000327,40
